file,id,name,route,chemical_group,unit,bqm_is_class_id,bqm_is_class_label,bqm_is_class_iri
Chen.sbml,Stomach,Stomach,oral,PFAS,L,PBPKO:00566,stomach compartment,http://purl.obolibrary.org/obo/PBPKO_00566
Chen.sbml,SI,Small intestine,oral,PFAS,L,PBPKO:00472,small intestine compartment,http://purl.obolibrary.org/obo/PBPKO_00472
Chen.sbml,Liver,Liver,oral,PFAS,L,PBPKO:00558,liver compartment,http://purl.obolibrary.org/obo/PBPKO_00558
Chen.sbml,Plasma,Plasma,oral,PFAS,L,PBPKO:00488,plasma compartment,http://purl.obolibrary.org/obo/PBPKO_00488
Chen.sbml,Rest,Rest of the body,oral,PFAS,L,PBPKO:00450,rest of body compartment,http://purl.obolibrary.org/obo/PBPKO_00450
Chen.sbml,Feces,Feces,oral,PFAS,L,PBPKO:00555,feces compartment,http://purl.obolibrary.org/obo/PBPKO_00555
ChouLin.sbml,Stomach,Stomach,oral,PFAS,L,PBPKO:00566,stomach compartment,http://purl.obolibrary.org/obo/PBPKO_00566
ChouLin.sbml,SI,Small intestine,oral,PFAS,L,PBPKO:00472,small intestine compartment,http://purl.obolibrary.org/obo/PBPKO_00472
ChouLin.sbml,Liver,Liver,oral,PFAS,L,PBPKO:00558,liver compartment,http://purl.obolibrary.org/obo/PBPKO_00558
ChouLin.sbml,Plasma,Plasma,oral,PFAS,L,PBPKO:00488,plasma compartment,http://purl.obolibrary.org/obo/PBPKO_00488
ChouLin.sbml,Rest,Rest of the body,oral,PFAS,L,PBPKO:00450,rest of body compartment,http://purl.obolibrary.org/obo/PBPKO_00450
ChouLin.sbml,Feces,Feces,oral,PFAS,L,PBPKO:00555,feces compartment,http://purl.obolibrary.org/obo/PBPKO_00555
Deepika.sbml,GI,Gastrointestinal tract,oral,PFAS,L,PBPKO:00477,gut compartment,http://purl.obolibrary.org/obo/PBPKO_00477
Deepika.sbml,Liver,Liver,oral,PFAS,L,PBPKO:00558,liver compartment,http://purl.obolibrary.org/obo/PBPKO_00558
Deepika.sbml,Plasma,Plasma,oral,PFAS,L,PBPKO:00488,plasma compartment,http://purl.obolibrary.org/obo/PBPKO_00488
Deepika.sbml,Rest,Rest of the body,oral,PFAS,L,PBPKO:00450,rest of body compartment,http://purl.obolibrary.org/obo/PBPKO_00450
LoccisanoPFOA.sbml,GI,Gastrointestinal tissue,oral,PFAS,L,PBPKO:00477,gut compartment,http://purl.obolibrary.org/obo/PBPKO_00477
LoccisanoPFOA.sbml,Liver,Liver,oral,PFAS,L,PBPKO:00558,liver compartment,http://purl.obolibrary.org/obo/PBPKO_00558
LoccisanoPFOA.sbml,Plasma,Plasma,oral,PFAS,L,PBPKO:00488,plasma compartment,http://purl.obolibrary.org/obo/PBPKO_00488
LoccisanoPFOA.sbml,Rest,Rest of body,oral,PFAS,L,PBPKO:00450,rest of body compartment,http://purl.obolibrary.org/obo/PBPKO_00450
Worley.sbml,Stomach,Stomach,oral,PFAS,L,PBPKO:00566,stomach compartment,http://purl.obolibrary.org/obo/PBPKO_00566
Worley.sbml,SI,Small intestine,oral,PFAS,L,PBPKO:00472,small intestine compartment,http://purl.obolibrary.org/obo/PBPKO_00472
Worley.sbml,Liver,Liver,oral,PFAS,L,PBPKO:00558,liver compartment,http://purl.obolibrary.org/obo/PBPKO_00558
Worley.sbml,Plasma,Plasma,oral,PFAS,L,PBPKO:00488,plasma compartment,http://purl.obolibrary.org/obo/PBPKO_00488
Worley.sbml,Rest,Rest of the body,oral,PFAS,L,PBPKO:00450,rest of body compartment,http://purl.obolibrary.org/obo/PBPKO_00450
Worley.sbml,Feces,Feces,oral,PFAS,L,PBPKO:00555,feces compartment,http://purl.obolibrary.org/obo/PBPKO_00555
LoccisanoPFOS.sbml,GI,Gastrointestinal tissue,oral,PFAS,L,PBPKO:00477,gut compartment,http://purl.obolibrary.org/obo/PBPKO_00477
LoccisanoPFOS.sbml,Liver,Liver,oral,PFAS,L,PBPKO:00558,liver compartment,http://purl.obolibrary.org/obo/PBPKO_00558
LoccisanoPFOS.sbml,Plasma,Plasma,oral,PFAS,L,PBPKO:00488,plasma compartment,http://purl.obolibrary.org/obo/PBPKO_00488
