idModelInstance,Parameter,Value,Unit,Description,Reference
BPA_Dermal_PBK_Hu_layered_PARAM,BW,70.0,kg,Body Weight,
BPA_Dermal_PBK_Hu_layered_PARAM,BSA,190.0,dm^2,Body Surface Area,
BPA_Dermal_PBK_Hu_layered_PARAM,VplasmaC,0.0411,L/kg,fractional volume of plasma,
BPA_Dermal_PBK_Hu_layered_PARAM,VSkinC,0.038,L/kg,Fractional volume of skin tissue,
BPA_Dermal_PBK_Hu_layered_PARAM,VBody,1.0,L/kg,Volume of Body Compartment,
BPA_Dermal_PBK_Hu_layered_PARAM,QCC,5.6,L/min,cardiac blood output,
BPA_Dermal_PBK_Hu_layered_PARAM,QSkinC,0.05,dimensionless,fractional blood flow to the skin (scaled),
BPA_Dermal_PBK_Hu_layered_PARAM,Area_exposed_skin,,dm^2,area of exposed skin,
BPA_Dermal_PBK_Hu_layered_PARAM,Area_exposed_follicle,0.005,dimensionless,area of exposed follicle,
BPA_Dermal_PBK_Hu_layered_PARAM,Thickness_epidermis_finger,545.0,,thickness of epidermis (finger),
BPA_Dermal_PBK_Hu_layered_PARAM,Thickness_skin_finger,,,thickness of skin (finger),
BPA_Dermal_PBK_Hu_layered_PARAM,Thickness_SC,,,thickness of stratum corneum,
BPA_Dermal_PBK_Hu_layered_PARAM,D_SC,1.728e-08,,Stratum Corneum diffusion coefficient,
BPA_Dermal_PBK_Hu_layered_PARAM,u1,5.7e-05,dm/h,stratum corneum desquamation velocity,
BPA_Dermal_PBK_Hu_layered_PARAM,PCSC,64.6,dimensionless,Partition coefficient of Stratum Corneum to Viable epidermis,
BPA_Dermal_PBK_Hu_layered_PARAM,PCSCVE,195.12,dimensionless,Partition coefficient of Stratum Corneum to Viable Epidermis,
BPA_Dermal_PBK_Hu_layered_PARAM,pskin,2.15,dimensionless,VE/blood partition coefficient,
BPA_Dermal_PBK_Hu_layered_PARAM,P_follicle,0.001055,dm/h,Follicle permeability coefficient,
BPA_Dermal_PBK_Hu_layered_PARAM,PCFO,1.0,dimensionless,follicle/SSD partition term,
BPA_Dermal_PBK_Hu_layered_PARAM,PCRestbody,1.2,dimensionless,tissue-to-blood partition coefficient (lumped Rest of Body),
BPA_Dermal_PBK_Hu_layered_PARAM,CLUrine,10.0,dimensionless,renal clearance rate,
BPA_Dermal_PBK_Hu_layered_PARAM,DOSE_d,1000.0,ng/kg,total amount applied to SSD,
BPA_Dermal_PBK_Hu_layered_PARAM,add_period,,h,dosing parameter,
BPA_Dermal_PBK_Hu_layered_PARAM,exp_period,,h,dosing parameter,
BPA_Dermal_PBK_Hu_layered_PARAM,Free,1.0,,,
BPA_Dermal_PBK_Hu_layered_PARAM,SC_dx,,cm,Thickness,
