element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,nmol,,,,
extentUnits,document,model extent unit,nmol,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
BPA_Dermal_Simplified_Karrer,model,,,rdf,BQB_HAS_PROPERTY,,
BPA_Dermal_Simplified_Karrer,model,,,rdf,BQB_HAS_TAXON,,
SurfaceDepot,compartment,,,rdf,BQM_IS,,
Skin,compartment,,,rdf,BQM_IS,,
Plasma,compartment,,,rdf,BQM_IS,,
Restbody,compartment,,,rdf,BQM_IS,,
SSD,species,,,rdf,BQM_IS,,
SSD,species,,,rdf,BQB_IS,,
ASkin,species,,,rdf,BQM_IS,,
ASkin,species,,,rdf,BQB_IS,,
APlasma,species,,,rdf,BQM_IS,,
APlasma,species,,,rdf,BQB_IS,,
ARestbody,species,,,rdf,BQM_IS,,
ARestbody,species,,,rdf,BQB_IS,,
BW,parameter,,,rdf,BQM_IS,,
BW,parameter,,,rdf,BQB_IS,,
VPlasmaC,parameter,,,rdf,BQM_IS,,
VPlasmaC,parameter,,,rdf,BQB_IS,,
VSkinC,parameter,,,rdf,BQM_IS,,
VSkinC,parameter,,,rdf,BQB_IS,,
VPlasma,parameter,,,rdf,BQM_IS,,
VPlasma,parameter,,,rdf,BQB_IS,,
VSkin,parameter,,,rdf,BQM_IS,,
VSkin,parameter,,,rdf,BQB_IS,,
VRestbody,parameter,,,rdf,BQM_IS,,
VRestbody,parameter,,,rdf,BQB_IS,,
QSkinC,parameter,,,rdf,BQM_IS,,
QSkinC,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
QSkin,parameter,,,rdf,BQM_IS,,
QSkin,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
MW,parameter,,,rdf,BQM_IS,,
MW,parameter,,,rdf,BQB_IS,,
QCP,parameter,,,rdf,BQM_IS,,
QCP,parameter,,,rdf,BQB_IS,,
PSkin,parameter,,,rdf,BQM_IS,,
PSkin,parameter,,,rdf,BQB_IS,,
PRest,parameter,,,rdf,BQM_IS,,
PRest,parameter,,,rdf,BQB_IS,,
kurine,parameter,,,rdf,BQM_IS,,
kurine,parameter,,,rdf,BQB_IS,,
aHL,parameter,,,rdf,BQM_IS,,
aHL,parameter,,,rdf,BQB_IS,,
t0,parameter,,,rdf,BQM_IS,,
t0,parameter,,,rdf,BQB_IS,,
period,parameter,,,rdf,BQM_IS,,
period,parameter,,,rdf,BQB_IS,,
kpen,parameter,,,rdf,BQM_IS,,
kpen,parameter,,,rdf,BQB_IS,,
CPlasma,parameter,,,rdf,BQM_IS,,
CPlasma,parameter,,,rdf,BQB_IS,,
CSkin,parameter,,,rdf,BQM_IS,,
CSkin,parameter,,,rdf,BQB_IS,,
CRest,parameter,,,rdf,BQM_IS,,
CRest,parameter,,,rdf,BQB_IS,,
