idModelInstance,Parameter,Value,Unit,Description,Reference
Husoy2023_Dermal_PARAM,BW,70.0,,,
Husoy2023_Dermal_PARAM,QOP,390.0,,,
Husoy2023_Dermal_PARAM,VSkinC,2.5,,,
Husoy2023_Dermal_PARAM,VPlasmaC,3.0,,,
Husoy2023_Dermal_PARAM,VRestC,65.0,,,
Husoy2023_Dermal_PARAM,VKidneyC,0.28,,,
Husoy2023_Dermal_PARAM,PSkin,0.1,,,
Husoy2023_Dermal_PARAM,PRest,1.0,,,
Husoy2023_Dermal_PARAM,PKidney,1.05,,,
Husoy2023_Dermal_PARAM,Free,0.02,,,
Husoy2023_Dermal_PARAM,FreeR,1.0,,,
Husoy2023_Dermal_PARAM,kurinec,1.83e-06,,,
Husoy2023_Dermal_PARAM,SkinArea,972.0,,,
Husoy2023_Dermal_PARAM,AbsPFOA,0.016,,,
