element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Bouchard2005_DermalOnly_Simplified,model,,,rdf,BQB_HAS_PROPERTY,,
Bouchard2005_DermalOnly_Simplified,model,,,rdf,BQB_HAS_TAXON,,
SkinSurf,compartment,,,rdf,BQM_IS,,
Blood,compartment,,,rdf,BQM_IS,,
RestOfBody,compartment,,,rdf,BQM_IS,,
Urine,compartment,,,rdf,BQM_IS,,
ASkin,species,,,rdf,BQM_IS,,
ASkin,species,,,rdf,BQB_IS,,
ABlood,species,,,rdf,BQM_IS,,
ABlood,species,,,rdf,BQB_IS,,
AStorage,species,,,rdf,BQM_IS,,
AStorage,species,,,rdf,BQB_IS,,
AMetTCP,species,,,rdf,BQM_IS,,
AMetTCP,species,,,rdf,BQB_IS,,
AMetAP,species,,,rdf,BQM_IS,,
AMetAP,species,,,rdf,BQB_IS,,
AUrine,species,,,rdf,BQM_IS,,
AUrine,species,,,rdf,BQB_IS,,
f_abs_dermal,parameter,,,rdf,BQM_IS,,
f_abs_dermal,parameter,,,rdf,BQB_IS,,
k_abs_dermal,parameter,,,rdf,BQM_IS,,
k_abs_dermal,parameter,,,rdf,BQB_IS,,
k_BM,parameter,,,rdf,BQM_IS,,
k_BM,parameter,,,rdf,BQB_IS,,
k_BS,parameter,,,rdf,BQM_IS,,
k_BS,parameter,,,rdf,BQB_IS,,
k_SB,parameter,,,rdf,BQM_IS,,
k_SB,parameter,,,rdf,BQB_IS,,
k_MU_TCP,parameter,,,rdf,BQM_IS,,
k_MU_TCP,parameter,,,rdf,BQB_IS,,
k_MU_AP,parameter,,,rdf,BQM_IS,,
k_MU_AP,parameter,,,rdf,BQB_IS,,
