idModelInstance,Parameter,Value,Unit,Description,Reference
Poet2014_DermalOnly_SimplifiedCPF_PARAM,BW,70.0,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,SkinSurfArea,100.0,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,VTotalSkin,4.0,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,VArtBlood,1.5,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,VVenBlood,3.5,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,VRest,39.0,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,VElimination,1.0,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,Qtotal,347.9,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,Kp,5.5e-05,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,Pskin,200.0,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,Prest,3.85,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,Frac_Bound,0.99,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,VMCDERMCP,27.2,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,KMDERMCP,21.0,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,VMCDERMCO,12.6,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,KMDERMCO,33.2,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,Kelim,0.024,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,Vdistr,35.0,,,
Poet2014_DermalOnly_SimplifiedCPF_PARAM,DermalDose_umol,0.0,,,
