element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,mg,,,,
extentUnits,document,model extent unit,mg,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Dermal_PBK_Quindroit_Simplified,model,,,rdf,BQB_HAS_PROPERTY,,
Dermal_PBK_Quindroit_Simplified,model,,,rdf,BQB_HAS_TAXON,,
SkinSurface,compartment,,,rdf,BQM_IS,,
StratumCorneum,compartment,,,rdf,BQM_IS,,
Skin,compartment,,,rdf,BQM_IS,,
ArterialBlood,compartment,,,rdf,BQM_IS,,
VenousBlood,compartment,,,rdf,BQM_IS,,
RestOfBody,compartment,,,rdf,BQM_IS,,
Cskin,species,,,rdf,BQM_IS,,
Cskin,species,,,rdf,BQB_IS,,
Cart,species,,,rdf,BQM_IS,,
Cart,species,,,rdf,BQB_IS,,
Cven,species,,,rdf,BQM_IS,,
Cven,species,,,rdf,BQB_IS,,
Crest,species,,,rdf,BQM_IS,,
Crest,species,,,rdf,BQB_IS,,
k_ds,parameter,,,rdf,BQM_IS,,
k_ds,parameter,,,rdf,BQB_IS,,
k_dv,parameter,,,rdf,BQM_IS,,
k_dv,parameter,,,rdf,BQB_IS,,
Q_total,parameter,,,rdf,BQM_IS,,
Q_total,parameter,,,rdf,BQB_IS,,
F_skin,parameter,,,rdf,BQM_IS,,
F_skin,parameter,,,rdf,BQB_IS,,
F_rest,parameter,,,rdf,BQM_IS,,
F_rest,parameter,,,rdf,BQB_IS,,
PC_skin,parameter,,,rdf,BQM_IS,,
PC_skin,parameter,,,rdf,BQB_IS,,
PC_rest,parameter,,,rdf,BQM_IS,,
PC_rest,parameter,,,rdf,BQB_IS,,
CL_urine,parameter,,,rdf,BQM_IS,,
CL_urine,parameter,,,rdf,BQB_IS,,
