element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Dermal_PBK_Wei_Simplified,model,,,rdf,BQB_HAS_PROPERTY,,
Dermal_PBK_Wei_Simplified,model,,,rdf,BQB_HAS_TAXON,,
default_compartment,compartment,,,rdf,BQM_IS,,
Skin,compartment,,,rdf,BQM_IS,,
Blood,compartment,,,rdf,BQM_IS,,
RestOfBody,compartment,,,rdf,BQM_IS,,
UrinaryExcretion,compartment,,,rdf,BQM_IS,,
ASkin,species,,,rdf,BQM_IS,,
ASkin,species,,,rdf,BQB_IS,,
ABlood,species,,,rdf,BQM_IS,,
ABlood,species,,,rdf,BQB_IS,,
ARest,species,,,rdf,BQM_IS,,
ARest,species,,,rdf,BQB_IS,,
AUrine,species,,,rdf,BQM_IS,,
AUrine,species,,,rdf,BQB_IS,,
ABloodn,species,,,rdf,BQM_IS,,
ABloodn,species,,,rdf,BQB_IS,,
BW,parameter,,,rdf,BQM_IS,,
BW,parameter,,,rdf,BQB_IS,,
VBloodC,parameter,,,rdf,BQM_IS,,
VBloodC,parameter,,,rdf,BQB_IS,,
VSkinC,parameter,,,rdf,BQM_IS,,
VSkinC,parameter,,,rdf,BQB_IS,,
VBlood,parameter,,,rdf,BQM_IS,,
VBlood,parameter,,,rdf,BQB_IS,,
VSkin,parameter,,,rdf,BQM_IS,,
VSkin,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
VUrine,parameter,,,rdf,BQM_IS,,
VUrine,parameter,,,rdf,BQB_IS,,
QCC,parameter,,,rdf,BQM_IS,,
QCC,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
QSkinC,parameter,,,rdf,BQM_IS,,
QSkinC,parameter,,,rdf,BQB_IS,,
QSkin,parameter,,,rdf,BQM_IS,,
QSkin,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
PSkinBlood,parameter,,,rdf,BQM_IS,,
PSkinBlood,parameter,,,rdf,BQB_IS,,
PRestBlood,parameter,,,rdf,BQM_IS,,
PRestBlood,parameter,,,rdf,BQB_IS,,
SurfLoad,parameter,,,rdf,BQM_IS,,
SurfLoad,parameter,,,rdf,BQB_IS,,
SkinExposedArea,parameter,,,rdf,BQM_IS,,
SkinExposedArea,parameter,,,rdf,BQB_IS,,
SkinArea,parameter,,,rdf,BQM_IS,,
SkinArea,parameter,,,rdf,BQB_IS,,
Trasferable_Fraction,parameter,,,rdf,BQM_IS,,
Trasferable_Fraction,parameter,,,rdf,BQB_IS,,
Cum_Dermal_Abs_Fraction,parameter,,,rdf,BQM_IS,,
Cum_Dermal_Abs_Fraction,parameter,,,rdf,BQB_IS,,
exp_time,parameter,,,rdf,BQM_IS,,
exp_time,parameter,,,rdf,BQB_IS,,
ug_to_mg,parameter,,,rdf,BQM_IS,,
ug_to_mg,parameter,,,rdf,BQB_IS,,
K_ur,parameter,,,rdf,BQM_IS,,
K_ur,parameter,,,rdf,BQB_IS,,
CSkin,parameter,,,rdf,BQM_IS,,
CSkin,parameter,,,rdf,BQB_IS,,
CBlood,parameter,,,rdf,BQM_IS,,
CBlood,parameter,,,rdf,BQB_IS,,
CRest,parameter,,,rdf,BQM_IS,,
CRest,parameter,,,rdf,BQB_IS,,
