idModelInstance,Parameter,Value,Unit,Description,Reference
Dermal_PBK_Wei_Simplified_PARAM,BW,70.0,,,
Dermal_PBK_Wei_Simplified_PARAM,VBloodC,0.07,,,
Dermal_PBK_Wei_Simplified_PARAM,VSkinC,0.051,,,
Dermal_PBK_Wei_Simplified_PARAM,VUrine,1.0,,,
Dermal_PBK_Wei_Simplified_PARAM,QCC,14.1,,,
Dermal_PBK_Wei_Simplified_PARAM,QSkinC,0.086,,,
Dermal_PBK_Wei_Simplified_PARAM,PSkinBlood,5.6,,,
Dermal_PBK_Wei_Simplified_PARAM,PRestBlood,5.6,,,
Dermal_PBK_Wei_Simplified_PARAM,SurfLoad,35.0,,,
Dermal_PBK_Wei_Simplified_PARAM,SkinExposedArea,0.999,,,
Dermal_PBK_Wei_Simplified_PARAM,Trasferable_Fraction,0.1,,,
Dermal_PBK_Wei_Simplified_PARAM,Cum_Dermal_Abs_Fraction,0.015,,,
Dermal_PBK_Wei_Simplified_PARAM,exp_time,14.0,,,
Dermal_PBK_Wei_Simplified_PARAM,ug_to_mg,0.001,,,
Dermal_PBK_Wei_Simplified_PARAM,K_ur,0.1,,,
