idModelInstance,Parameter,Value,Unit,Description,Reference
BPA_Dermal_Simplified_Karrer_PARAM,BW,70.0,,,
BPA_Dermal_Simplified_Karrer_PARAM,VPlasmaC,0.0428,,,
BPA_Dermal_Simplified_Karrer_PARAM,VSkinC,0.06,,,
BPA_Dermal_Simplified_Karrer_PARAM,QSkinC,0.044,,,
BPA_Dermal_Simplified_Karrer_PARAM,QC,,,,
BPA_Dermal_Simplified_Karrer_PARAM,MW,228.28,,,
BPA_Dermal_Simplified_Karrer_PARAM,QCP,390.0,,,
BPA_Dermal_Simplified_Karrer_PARAM,PSkin,2.15,,,
BPA_Dermal_Simplified_Karrer_PARAM,PRest,2.7,,,
BPA_Dermal_Simplified_Karrer_PARAM,kurine,0.021,,,
BPA_Dermal_Simplified_Karrer_PARAM,AbsBisphenol,0.2,,,
BPA_Dermal_Simplified_Karrer_PARAM,aHL,6.0,,,
BPA_Dermal_Simplified_Karrer_PARAM,t0,0.0,,,
BPA_Dermal_Simplified_Karrer_PARAM,period,24.0,,,
