element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ug,,,,
extentUnits,document,model extent unit,ug,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Inhalation_B_art_ven,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_37193,
Inhalation_B_art_ven,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
Air,compartment,air compartment,L,rdf,BQM_IS,,
Arterial,compartment,arterial blood compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00552,
Venous,compartment,venous blood compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00561,
RestofBody,compartment,rest of body compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Pulmonary,compartment,pulmonary compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00446,
Metabolite,compartment,metabolite compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00446,
Aair,species,amount in air,ug,rdf,BQM_IS,,
Aair,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_37193,
Aart,species,amount in arterial blood,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00631,
Aart,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_37193,
Aven,species,amount in venous blood,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00632,
Aven,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_37193,
Arest,species,amount in restbody,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
Arest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_37193,
Apulmonary,species,amount of compound in pulmonary compartment,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00615,
Apulmonary,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_37193,
Amet,species,amount of metabolized,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00058,
