idModelInstance,Parameter,Value,Unit,Description,Reference
Inhalation_B_art_ven_PARAM,BW,70.0,kg,bodyweight,
Inhalation_B_art_ven_PARAM,sc_Vblood,0.074,dimensionless,volume fraction of blood,
Inhalation_B_art_ven_PARAM,sc_Vpulmonary,0.018,dimensionless,fraction of volume of compartment,
Inhalation_B_art_ven_PARAM,FracArt,0.18,dimensionless,fraction of arterial blood volume,
Inhalation_B_art_ven_PARAM,Vair,1.0,L,volume of air (arbitrary),
Inhalation_B_art_ven_PARAM,Vmet,1.0,L,volume of metabolite compartment,
Inhalation_B_art_ven_PARAM,COCoeff,12.5,dimensionless,coefficient for cardiac output rate,
Inhalation_B_art_ven_PARAM,Falv,390.0,L/h,alveolar ventilation rate,
Inhalation_B_art_ven_PARAM,Fabs,0.3,dimensionless,relative bioavailability,
Inhalation_B_art_ven_PARAM,PCRestBlood,0.5,dimensionless,restbody blood partition coefficient,
Inhalation_B_art_ven_PARAM,PCPulmBlood,100,dimensionless,pulmonary (often lung) blood partition coefficient,
Inhalation_B_art_ven_PARAM,PCAirBlood,2000.0,dimensionless,air blood partition coefficient,
Inhalation_B_art_ven_PARAM,kmetPulm,0.0,/h,metabolism rate constant in pulmonary compartment,
