element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Air,compartment,alveolar air,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00458,
Arterial,compartment,,L,rdf,BQM_IS,,
Venous,compartment,,L,rdf,BQM_IS,,
RestofBody,compartment,,L,rdf,BQM_IS,,
Aair,species,,ug,rdf,BQM_IS,,
Aair,species,,,rdf,BQB_IS,,
Aart,species,,ug,rdf,BQM_IS,,
Aart,species,,,rdf,BQB_IS,,
Aven,species,amount of chemical in venous blood,ug,rdf,BQM_IS,,
Aven,species,,,rdf,BQB_IS,,
Arest,species,amount of chemical in rest-of-body,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
Arest,species,,,rdf,BQB_IS,,
Vblood,parameter,,,rdf,BQM_IS,,
Vblood,parameter,,,rdf,BQB_IS,,
BW,parameter,body weight,kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
sc_Vblood,parameter,,L/kg,rdf,BQM_IS,,
sc_Vblood,parameter,,,rdf,BQB_IS,,
Vrest,parameter,,,rdf,BQM_IS,,
Vrest,parameter,,,rdf,BQB_IS,,
sc_Vrest,parameter,,L/kg,rdf,BQM_IS,,
sc_Vrest,parameter,,,rdf,BQB_IS,,
Vart,parameter,,,rdf,BQM_IS,,
Vart,parameter,,,rdf,BQB_IS,,
Vven,parameter,,,rdf,BQM_IS,,
Vven,parameter,,,rdf,BQB_IS,,
Falv,parameter,,L/h,rdf,BQM_IS,,
Falv,parameter,,,rdf,BQB_IS,,
Vair,parameter,,,rdf,BQM_IS,,
Vair,parameter,,,rdf,BQB_IS,,
Fabs,parameter,,,rdf,BQM_IS,,
Fabs,parameter,,,rdf,BQB_IS,,
Qrest,parameter,,,rdf,BQM_IS,,
Qrest,parameter,,,rdf,BQB_IS,,
k_rest_blood,parameter,,UNITLESS,rdf,BQM_IS,,
k_rest_blood,parameter,,,rdf,BQB_IS,,
CO,parameter,,L/h,rdf,BQM_IS,,
CO,parameter,,,rdf,BQB_IS,,
PCAir,parameter,,UNITLESS,rdf,BQM_IS,,
PCAir,parameter,,,rdf,BQB_IS,,
