element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,umol,,,,
extentUnits,document,model extent unit,umol,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Christensen2013_BPA_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_33216,
Christensen2013_BPA_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
Stomach,compartment,stomach,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00566,
Blood,compartment,blood,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
Bladder,compartment,,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00402,
ASt,species,amount of chemical in stomach,umol,rdf,BQM_IS,,
ASt,species,,,rdf,BQB_IS,,
ABlood,species,amount of chemical in blood,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
ABlood,species,,,rdf,BQB_IS,,
AExcr,species,,umol,rdf,BQM_IS,,
AExcr,species,,,rdf,BQB_IS,,
BW,parameter,body weight,kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,
VD,parameter,,L/kg,rdf,BQM_IS,,
VD,parameter,,,rdf,BQB_IS,,
F1,parameter,,DIMENSIONLESS,rdf,BQM_IS,,
F1,parameter,,,rdf,BQB_IS,,
F2,parameter,,DIMENSIONLESS,rdf,BQM_IS,,
F2,parameter,,,rdf,BQB_IS,,
k1,parameter,,/h,rdf,BQM_IS,,
k1,parameter,,,rdf,BQB_IS,,
k2,parameter,,/h,rdf,BQM_IS,,
k2,parameter,,,rdf,BQB_IS,,
CBlood,parameter,,umol/L,rdf,BQM_IS,,
CBlood,parameter,,,rdf,BQB_IS,,
