element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Stomach,compartment,stomach,,rdf,BQM_IS,,
Liver,compartment,liver,,rdf,BQM_IS,,
Plasma,compartment,blood plasma,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Gut,compartment,gut,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Rest,compartment,rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
AStomach,species,,,rdf,BQM_IS,,
AStomach,species,,,rdf,BQB_IS,,
ALiver,species,amount of chemical in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,,
APlasma,species,amount of chemical in plasma,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,,
AGut,species,amount of chemical in gut,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGut,species,,,rdf,BQB_IS,,
ARest,species,amount of chemical in rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,,
AGutMet1,species,,,rdf,BQM_IS,,
AGutMet1,species,,,rdf,BQB_IS,,
ALiverMet1,species,,,rdf,BQM_IS,,
ALiverMet1,species,,,rdf,BQB_IS,,
ALiverMet2,species,,,rdf,BQM_IS,,
ALiverMet2,species,,,rdf,BQB_IS,,
BW,parameter,body weight,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
VLc,parameter,,,rdf,BQM_IS,,
VLc,parameter,,,rdf,BQB_IS,,
VPlasmac,parameter,,,rdf,BQM_IS,,
VPlasmac,parameter,,,rdf,BQB_IS,,
VGc,parameter,,,rdf,BQM_IS,,
VGc,parameter,,,rdf,BQB_IS,,
VL,parameter,,,rdf,BQM_IS,,
VL,parameter,,,rdf,BQB_IS,,
VPlasma,parameter,,,rdf,BQM_IS,,
VPlasma,parameter,,,rdf,BQB_IS,,
VG,parameter,,,rdf,BQM_IS,,
VG,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
QLc,parameter,,,rdf,BQM_IS,,
QLc,parameter,,,rdf,BQB_IS,,
QGc,parameter,,,rdf,BQM_IS,,
QGc,parameter,,,rdf,BQB_IS,,
QL,parameter,,,rdf,BQM_IS,,
QL,parameter,,,rdf,BQB_IS,,
QG,parameter,,,rdf,BQM_IS,,
QG,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
Hct,parameter,,,rdf,BQM_IS,,
Hct,parameter,,,rdf,BQB_IS,,
fup,parameter,,,rdf,BQM_IS,,
fup,parameter,,,rdf,BQB_IS,,
k0C,parameter,,,rdf,BQM_IS,,
k0C,parameter,,,rdf,BQB_IS,,
k0,parameter,,,rdf,BQM_IS,,
k0,parameter,,,rdf,BQB_IS,,
kstoC,parameter,,,rdf,BQM_IS,,
kstoC,parameter,,,rdf,BQB_IS,,
ksto,parameter,,,rdf,BQM_IS,,
ksto,parameter,,,rdf,BQB_IS,,
kabsC,parameter,,,rdf,BQM_IS,,
kabsC,parameter,,,rdf,BQB_IS,,
kabs,parameter,,,rdf,BQM_IS,,
kabs,parameter,,,rdf,BQB_IS,,
VmaxGMet1C,parameter,,,rdf,BQM_IS,,
VmaxGMet1C,parameter,,,rdf,BQB_IS,,
VmaxGMet1,parameter,,,rdf,BQM_IS,,
VmaxGMet1,parameter,,,rdf,BQB_IS,,
KmGMet1,parameter,,,rdf,BQM_IS,,
KmGMet1,parameter,,,rdf,BQB_IS,,
VmaxLMet1C,parameter,,,rdf,BQM_IS,,
VmaxLMet1C,parameter,,,rdf,BQB_IS,,
VmaxLMet1,parameter,,,rdf,BQM_IS,,
VmaxLMet1,parameter,,,rdf,BQB_IS,,
KmLMet1,parameter,,,rdf,BQM_IS,,
KmLMet1,parameter,,,rdf,BQB_IS,,
VmaxLMet2C,parameter,,,rdf,BQM_IS,,
VmaxLMet2C,parameter,,,rdf,BQB_IS,,
VmaxLMet2,parameter,,,rdf,BQM_IS,,
VmaxLMet2,parameter,,,rdf,BQB_IS,,
KmLMet2,parameter,,,rdf,BQM_IS,,
KmLMet2,parameter,,,rdf,BQB_IS,,
PL,parameter,,,rdf,BQM_IS,,
PL,parameter,,,rdf,BQB_IS,,
PRest,parameter,,,rdf,BQM_IS,,
PRest,parameter,,,rdf,BQB_IS,,
CLiver,parameter,,,rdf,BQM_IS,,
CLiver,parameter,,,rdf,BQB_IS,,
CPlasma,parameter,,,rdf,BQM_IS,,
CPlasma,parameter,,,rdf,BQB_IS,,
CPlasma_Total,parameter,,,rdf,BQM_IS,,
CPlasma_Total,parameter,,,rdf,BQB_IS,,
CGut,parameter,,,rdf,BQM_IS,,
CGut,parameter,,,rdf,BQB_IS,,
CRest,parameter,,,rdf,BQM_IS,,
CRest,parameter,,,rdf,BQB_IS,,
