idModelInstance,Parameter,Value,Unit,Description,Reference
Deepika_2022_BisphenolA_Human_PARAM,BW,70.0,kg,body weight,
Deepika_2022_BisphenolA_Human_PARAM,VLc,0.026,L/kg,,
Deepika_2022_BisphenolA_Human_PARAM,VPlasmac,0.0428,L/kg,,
Deepika_2022_BisphenolA_Human_PARAM,VGc,0.017,L/kg,,
Deepika_2022_BisphenolA_Human_PARAM,QLc,0.026,dimensionless,,
Deepika_2022_BisphenolA_Human_PARAM,QGc,0.016,dimensionless,,
Deepika_2022_BisphenolA_Human_PARAM,fup,0.965,dimensionless,,
Deepika_2022_BisphenolA_Human_PARAM,kstoC,3.5,L/h/kg^-0.25,,
Deepika_2022_BisphenolA_Human_PARAM,kabsC,9.0,L/h/kg^-0.25,,
Deepika_2022_BisphenolA_Human_PARAM,KmGMet1,58.0,umol/L,,
Deepika_2022_BisphenolA_Human_PARAM,KmLMet1,45.8,umol/L,,
Deepika_2022_BisphenolA_Human_PARAM,KmLMet2,10.1,umol/L,,
Deepika_2022_BisphenolA_Human_PARAM,PL,0.73,dimensionless,,
Deepika_2022_BisphenolA_Human_PARAM,PRest,1.0,dimensionless,,
