element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,nmol,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Hu2023_BPA_Human,model,,,rdf,BQB_IS_DESCRIBED_BY,https://www.ncbi.nlm.nih.gov/pubmed/36649768,
Hu2023_BPA_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_33216,
Hu2023_BPA_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
Stomach,compartment,stomach,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00566,
SI,compartment,Small intestine compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00472,
Liver,compartment,liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Plasma,compartment,blood plasma,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Rest,compartment,rest-of-body,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
GILumen,compartment,GI lumen compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00478,
Feces,compartment,feces,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
AStomach,species,Amount in stomach,nmol,rdf,BQM_IS,,
AStomach,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
ASI,species,Amount in small intestine,nmol,rdf,BQM_IS,,
ASI,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
ALiver,species,amount of chemical in liver,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
APlasma,species,amount of chemical in plasma,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
ARest,species,amount of chemical in rest-of-body,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
AGILumen,species,Amount in GI lumen,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGILumen,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
AFeces,species,Amount in feces,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00273,
AFeces,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
ASIMet1,species,Amount in small intestine,nmol,rdf,BQM_IS,,
ASIMet1,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_76967,
ASIMet2,species,Amount in small intestine,nmol,rdf,BQM_IS,,
ASIMet2,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_167305,
ALiverMet1,species,Amount in liver,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiverMet1,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_76967,
ALiverMet2,species,Amount in liver,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiverMet2,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_167305,
APVMet1,species,Amount in portal vein,nmol,rdf,BQM_IS,,
APVMet1,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_76967,
