idModelInstance,Parameter,Value,Unit,Description,Reference
Hu2023_BPA_Human_PARAM,BW,70.0,,body weight,
Hu2023_BPA_Human_PARAM,VLc,0.0233,,,
Hu2023_BPA_Human_PARAM,VPlasmac,0.04,,,
Hu2023_BPA_Human_PARAM,VL,,,,
Hu2023_BPA_Human_PARAM,VPlasma,,,,
Hu2023_BPA_Human_PARAM,enterocytes,0.1223,,,
Hu2023_BPA_Human_PARAM,QC,354.0,,,
Hu2023_BPA_Human_PARAM,QLc,0.24,,,
Hu2023_BPA_Human_PARAM,QL,,,,
Hu2023_BPA_Human_PARAM,QRest,,,,
Hu2023_BPA_Human_PARAM,PL,0.73,,,
Hu2023_BPA_Human_PARAM,PRest,1.0,,,
Hu2023_BPA_Human_PARAM,kstoC,3.5,,,
Hu2023_BPA_Human_PARAM,ksto,,,,
Hu2023_BPA_Human_PARAM,k0C,0.0,,,
Hu2023_BPA_Human_PARAM,k0,,,,
Hu2023_BPA_Human_PARAM,kabsC,2.1,,,
Hu2023_BPA_Human_PARAM,kabs,,,,
Hu2023_BPA_Human_PARAM,kfeC,0.0,,,
Hu2023_BPA_Human_PARAM,kfeMetC,0.0,,,
Hu2023_BPA_Human_PARAM,kabsMet1C,50.0,,,
Hu2023_BPA_Human_PARAM,kabsMet2C,50.0,,,
Hu2023_BPA_Human_PARAM,EHRrateC,0.2,,,
Hu2023_BPA_Human_PARAM,kehrMet1C,0.2,,,
Hu2023_BPA_Human_PARAM,kehrMet2C,0.0,,,
Hu2023_BPA_Human_PARAM,BileFracSIMet1,0.1,,,
Hu2023_BPA_Human_PARAM,BileFracSIMet2,0.0,,,
Hu2023_BPA_Human_PARAM,fGutMet1,1.0,,,
Hu2023_BPA_Human_PARAM,KmGILumenMet1,58400.0,,,
Hu2023_BPA_Human_PARAM,VmaxGILumenMet1c,361.0,,,
Hu2023_BPA_Human_PARAM,fGutMet2,0.0,,,
Hu2023_BPA_Human_PARAM,KmGILumenMet2,10100.0,,,
Hu2023_BPA_Human_PARAM,VmaxGILumenMet2c,149.0,,,
Hu2023_BPA_Human_PARAM,BileFracLMet1,0.1,,,
Hu2023_BPA_Human_PARAM,BileFracLMet2,0.0,,,
Hu2023_BPA_Human_PARAM,fLiverMet1,1.0,,,
Hu2023_BPA_Human_PARAM,KmLMet1,45800.0,,,
Hu2023_BPA_Human_PARAM,VmaxLMet1c,9043.2,,,
Hu2023_BPA_Human_PARAM,fLiverMet2,1.0,,,
Hu2023_BPA_Human_PARAM,KmLMet2,10100.0,,,
Hu2023_BPA_Human_PARAM,VmaxLMet2c,149.0,,,
