element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,nmol,,,,
extentUnits,document,model extent unit,nmol,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Karrer2018_BPA_Human,model,,,rdf,BQB_IS_DESCRIBED_BY,https://www.ncbi.nlm.nih.gov/pubmed/29995627,
Karrer2018_BPA_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_33216,
Karrer2018_BPA_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
Stomach,compartment,stomach,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00566,
SI,compartment,Small intestine compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00472,
Liver,compartment,liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Plasma,compartment,blood plasma,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Rest,compartment,rest-of-body,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
GILumen,compartment,GI lumen compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00478,
Feces,compartment,feces,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
AStomach,species,Amount in stomach,nmol,rdf,BQM_IS,,
AStomach,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
ASI,species,Amount in small intestine,nmol,rdf,BQM_IS,,
ASI,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
ALiver,species,amount of chemical in liver,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
APlasma,species,amount of chemical in plasma,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
ARest,species,amount of chemical in rest-of-body,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
AGILumen,species,Amount in GI lumen,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGILumen,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
AFeces,species,Amount in feces,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00273,
AFeces,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
ASIMet1,species,Amount in small intestine,nmol,rdf,BQM_IS,,
ASIMet1,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_76967,
ASIMet2,species,Amount in small intestine,nmol,rdf,BQM_IS,,
ASIMet2,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_167305,
AGILumenMet1,species,Amount in GI lumen,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGILumenMet1,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_76967,
AGILumenMet2,species,Amount in GI lumen,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGILumenMet2,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_167305,
APlasmaMet1,species,Amount in plasma,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasmaMet1,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_76967,
APlasmaMet2,species,Amount in plasma,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasmaMet2,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_167305,
AFecesMet1,species,Amount in feces,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00273,
AFecesMet1,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_76967,
AFecesMet2,species,Amount in feces,nmol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00273,
AFecesMet2,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_167305,
BW,parameter,body weight,kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
VLc,parameter,Volume fraction of liver to bodyweight,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00078,
VLc,parameter,,,rdf,BQB_IS,,
VPlasmac,parameter,Volume fraction of plasma to bodyweight,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00104,
VPlasmac,parameter,,,rdf,BQB_IS,,
VL,parameter,Volume of liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00077,
VL,parameter,,,rdf,BQB_IS,,
VPlasma,parameter,Volume of plasma,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00103,
VPlasma,parameter,,,rdf,BQB_IS,,
VRest,parameter,Volume of rest of body,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00105,
VRest,parameter,,,rdf,BQB_IS,,
enterocytes,parameter,Enterocyte volume,L,rdf,BQM_IS,,
enterocytes,parameter,,,rdf,BQB_IS,,
QC,parameter,Cardiac output,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00013,
QC,parameter,,,rdf,BQB_IS,,
QLc,parameter,Blood flow to liver constant,DIMENSIONLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00025,
QLc,parameter,,,rdf,BQB_IS,,
QL,parameter,Blood flow to liver,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00024,
QL,parameter,,,rdf,BQB_IS,,
QRest,parameter,Blood flow to rest of body,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00050,
QRest,parameter,,,rdf,BQB_IS,,
PL,parameter,Partition coefficient - liver,DIMENSIONLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00577,
PL,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
PRest,parameter,Partition coefficient - rest of body,DIMENSIONLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00585,
PRest,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
kstoC,parameter,intrinsic gastric emptying rate constant,1/h/kg^-0.25,rdf,BQM_IS,,
kstoC,parameter,,,rdf,BQB_IS,,
ksto,parameter,Gastric emptying rate constant,/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00143,
ksto,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
k0C,parameter,Uptake from stomach to liver constant,1/h/kg^-0.25,rdf,BQM_IS,,
k0C,parameter,,,rdf,BQB_IS,,
k0,parameter,Uptake from stomach to liver,/h,rdf,BQM_IS,,
k0,parameter,,,rdf,BQB_IS,,
