idModelInstance,Parameter,Value,Unit,Description,Reference
Karrer2018_BPA_Human_PARAM,BW,70.0,kg,body weight,
Karrer2018_BPA_Human_PARAM,VLc,0.0233,L/kg,Volume fraction of liver to bodyweight,
Karrer2018_BPA_Human_PARAM,VPlasmac,0.04,L/kg,Volume fraction of plasma to bodyweight,
Karrer2018_BPA_Human_PARAM,enterocytes,0.1223,L,Enterocyte volume,
Karrer2018_BPA_Human_PARAM,QLc,0.24,dimensionless,Blood flow to liver constant,
Karrer2018_BPA_Human_PARAM,PL,0.73,dimensionless,Partition coefficient - liver,
Karrer2018_BPA_Human_PARAM,PRest,1.0,dimensionless,Partition coefficient - rest of body,
Karrer2018_BPA_Human_PARAM,kstoC,3.5,,intrinsic gastric emptying rate constant,
Karrer2018_BPA_Human_PARAM,k0C,0.0,,Uptake from stomach to liver constant,
Karrer2018_BPA_Human_PARAM,kabsC,50.0,,Uptake from enterocytes to liver,
Karrer2018_BPA_Human_PARAM,kfeC,0.0,,intrinsic fecal elimination rate constant,
Karrer2018_BPA_Human_PARAM,kfeMetC,0.0,,Intrinsic fecal elimination rate constant,
Karrer2018_BPA_Human_PARAM,kabsMet1C,50.0,,Transport from enterocytes to serum,
Karrer2018_BPA_Human_PARAM,kabsMet2C,50.0,,Transport from enterocytes to serum constant,
Karrer2018_BPA_Human_PARAM,EHRrateC,0.2,,intrinsic enterohepatic recirculation,
Karrer2018_BPA_Human_PARAM,kehrMet1C,0.2,,intrinsic EHR due to biliary excretion,
Karrer2018_BPA_Human_PARAM,kehrMet2C,0.0,,intrinsic EHR due to biliary excretion,
Karrer2018_BPA_Human_PARAM,BileFracSIMet1,0.1,dimensionless,% of metabolite that goes to bile,
Karrer2018_BPA_Human_PARAM,BileFracSIMet2,0.0,dimensionless,% of metabolite that goes to bile,
Karrer2018_BPA_Human_PARAM,fGutMet1,1.0,dimensionless,Switch on/off,
Karrer2018_BPA_Human_PARAM,KmGILumenMet1,58400.0,,Glucuronidation - Km,
Karrer2018_BPA_Human_PARAM,VmaxGILumenMet1c,361.0,,Glucuronidation - Vmax,
Karrer2018_BPA_Human_PARAM,fGutMet2,0.0,dimensionless,Swich on/off,
Karrer2018_BPA_Human_PARAM,KmGILumenMet2,0.001,,Glucuronidation - Km,
Karrer2018_BPA_Human_PARAM,VmaxGILumenMet2c,0.001,,Glucuronidation - Vmax,
Karrer2018_BPA_Human_PARAM,BileFracLMet1,0.1,dimensionless,% of metabolite that goes to bile,
Karrer2018_BPA_Human_PARAM,BileFracLMet2,0.0,dimensionless,% of metabolite that goes to bile,
Karrer2018_BPA_Human_PARAM,fLiverMet1,1.0,dimensionless,Switch on/off,
Karrer2018_BPA_Human_PARAM,KmLMet1,45800.0,,Glucuronidation - Km,
Karrer2018_BPA_Human_PARAM,VmaxLMet1c,9043.2,,Glucuronidation - Vmax,
Karrer2018_BPA_Human_PARAM,fLiverMet2,1.0,dimensionless,Correction factor,
Karrer2018_BPA_Human_PARAM,KmLMet2,10100.0,,Sulfation - Km,
Karrer2018_BPA_Human_PARAM,VmaxLMet2c,149.0,,Sulfation - Vmax,
