element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,umol,,,,
extentUnits,document,model extent unit,umol,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Loizou2022_BPA_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_33216,
Loizou2022_BPA_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
Stomach,compartment,stomach,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00566,
Liver,compartment,liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Plasma,compartment,blood plasma,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Gut,compartment,gut,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Rest,compartment,rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
AStomach,species,Amount in stomach,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_06004,
AStomach,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
ALiver,species,amount of chemical in liver,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
APlasma,species,amount of chemical in plasma,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
AGut,species,amount of chemical in gut,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGut,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
ARest,species,amount of chemical in rest-of-body,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
AGutMet1,species,Amount in gut,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGutMet1,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
ALiverMet1,species,Amount of metabolite in the liver,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiverMet1,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_235438,
ALiverMet2,species,Amount of metabolite in the liver,umol,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiverMet2,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_167305,
BW,parameter,body weight,kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
VLc,parameter,Volume fraction of liver to bodyweight,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00078,
VLc,parameter,,,rdf,BQB_IS,,
VPlasmac,parameter,Volume fraction of plasma to bodyweight,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00104,
VPlasmac,parameter,,,rdf,BQB_IS,,
VGc,parameter,Volume fraction of gut to body weight,L/kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00509,
VGc,parameter,,,rdf,BQB_IS,,
VL,parameter,Volume of liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00077,
VL,parameter,,,rdf,BQB_IS,,
VPlasma,parameter,Volume of plasma,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00103,
VPlasma,parameter,,,rdf,BQB_IS,,
VG,parameter,Volume of gut,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00524,
VG,parameter,,,rdf,BQB_IS,,
VRest,parameter,Volume of rest of body,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00105,
VRest,parameter,,,rdf,BQB_IS,,
QC,parameter,Cardiac output,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00013,
QC,parameter,,,rdf,BQB_IS,,
QLc,parameter,Blood flow to liver constant,DIMENSIONLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00025,
QLc,parameter,,,rdf,BQB_IS,,
QGc,parameter,Blood flow to gut constant,DIMENSIONLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00513,
QGc,parameter,,,rdf,BQB_IS,,
QL,parameter,Blood flow to liver,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00024,
QL,parameter,,,rdf,BQB_IS,,
QG,parameter,Blood flow to liver,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00531,
QG,parameter,,,rdf,BQB_IS,,
QRest,parameter,Blood flow to rest of body,L/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00050,
QRest,parameter,,,rdf,BQB_IS,,
fu,parameter,Fraction unbound plasma,DIMENSIONLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00591,
fu,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
k0C,parameter,Uptake from stomach to liver constant,1/h/kg^-0.25,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_03003,
k0C,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
k0,parameter,Uptake from stomach to liver,/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_03004,
k0,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
kstoC,parameter,intrinsic gastric emptying rate constant,1/h/kg^-0.25,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_03001,
kstoC,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
ksto,parameter,Gastric emptying rate constant,/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00143,
ksto,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
kabsC,parameter,Uptake from gut to liver,1/h/kg^-0.25,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_03002,
kabsC,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
kabs,parameter,Uptake from gut to liver,1/h,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00141,
kabs,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33216,
VmaxGMet1C,parameter,Glucuronidation - Vmax,umol/h/g,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00211,
VmaxGMet1C,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_76967,
