idModelInstance,Parameter,Value,Unit,Description,Reference
Loizou2022_BisphenolA_Human_PARAM,BW,70.0,,body weight,
Loizou2022_BisphenolA_Human_PARAM,VLc,0.026,,,
Loizou2022_BisphenolA_Human_PARAM,VPlasmac,0.0428,,,
Loizou2022_BisphenolA_Human_PARAM,VGc,0.017,,,
Loizou2022_BisphenolA_Human_PARAM,VL,,,,
Loizou2022_BisphenolA_Human_PARAM,VPlasma,,,,
Loizou2022_BisphenolA_Human_PARAM,VG,,,,
Loizou2022_BisphenolA_Human_PARAM,QC,,,,
Loizou2022_BisphenolA_Human_PARAM,QLc,0.026,,,
Loizou2022_BisphenolA_Human_PARAM,QGc,0.016,,,
Loizou2022_BisphenolA_Human_PARAM,QL,,,,
Loizou2022_BisphenolA_Human_PARAM,QG,,,,
Loizou2022_BisphenolA_Human_PARAM,QRest,,,,
Loizou2022_BisphenolA_Human_PARAM,Hct,0.45,,,
Loizou2022_BisphenolA_Human_PARAM,fu,0.965,,,
Loizou2022_BisphenolA_Human_PARAM,k0C,0.0,,,
Loizou2022_BisphenolA_Human_PARAM,k0,,,,
Loizou2022_BisphenolA_Human_PARAM,kstoC,3.5,,,
Loizou2022_BisphenolA_Human_PARAM,ksto,,,,
Loizou2022_BisphenolA_Human_PARAM,kabsC,9.0,,,
Loizou2022_BisphenolA_Human_PARAM,kabs,,,,
Loizou2022_BisphenolA_Human_PARAM,VmaxGMet1C,1.4,,,
Loizou2022_BisphenolA_Human_PARAM,VmaxGMet1,,,,
Loizou2022_BisphenolA_Human_PARAM,KmGMet1,58.0,,,
Loizou2022_BisphenolA_Human_PARAM,VmaxLMet1C,4.71,,,
Loizou2022_BisphenolA_Human_PARAM,VmaxLMet1,,,,
Loizou2022_BisphenolA_Human_PARAM,KmLMet1,45.8,,,
Loizou2022_BisphenolA_Human_PARAM,VmaxLMet2C,149.0,,,
Loizou2022_BisphenolA_Human_PARAM,VmaxLMet2,,,,
Loizou2022_BisphenolA_Human_PARAM,KmLMet2,10.1,,,
Loizou2022_BisphenolA_Human_PARAM,PL,0.73,,,
Loizou2022_BisphenolA_Human_PARAM,PRest,1.0,,,
