idModelInstance,Parameter,Value,Unit,Description,Reference
Mielke2009_BPA_Human_PARAM,BW,70.0,,body weight,
Mielke2009_BPA_Human_PARAM,VLc,0.026,,,
Mielke2009_BPA_Human_PARAM,VBc,0.079,,,
Mielke2009_BPA_Human_PARAM,VL,,,,
Mielke2009_BPA_Human_PARAM,VB,,,,
Mielke2009_BPA_Human_PARAM,QL,99.5,,,
Mielke2009_BPA_Human_PARAM,QC,300.0,,,
Mielke2009_BPA_Human_PARAM,QRest,,,,
Mielke2009_BPA_Human_PARAM,PL,1.46,,,
Mielke2009_BPA_Human_PARAM,PRest,1.0,,,
Mielke2009_BPA_Human_PARAM,kabs,2.77,,,
Mielke2009_BPA_Human_PARAM,KmLMet1,8.5,,,
Mielke2009_BPA_Human_PARAM,VmaxLMet1C,54.9,,,
Mielke2009_BPA_Human_PARAM,VmaxLMet1,,,,
Mielke2009_BPA_Human_PARAM,KmLMet2,8.5,,,
Mielke2009_BPA_Human_PARAM,VmaxLMet2C,,,,
Mielke2009_BPA_Human_PARAM,VmaxLMet2,,,,
