element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Stomach,compartment,stomach,,rdf,BQM_IS,,
GITissue,compartment,,,rdf,BQM_IS,,
Duodenum,compartment,,,rdf,BQM_IS,,
Liver,compartment,liver,,rdf,BQM_IS,,
Plasma,compartment,blood plasma,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Rest,compartment,rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
ASt,species,,,rdf,BQM_IS,,
ASt,species,,,rdf,BQB_IS,,
ADuodenum,species,,,rdf,BQM_IS,,
ADuodenum,species,,,rdf,BQB_IS,,
AGITissue,species,,,rdf,BQM_IS,,
AGITissue,species,,,rdf,BQB_IS,,
ALiver,species,amount of chemical in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,,
APlasma,species,amount of chemical in plasma,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,,
ARest,species,amount of chemical in rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,,
ALiverMet,species,,,rdf,BQM_IS,,
ALiverMet,species,,,rdf,BQB_IS,,
APlasmaMet,species,,,rdf,BQM_IS,,
APlasmaMet,species,,,rdf,BQB_IS,,
BW,parameter,body weight,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
VLC,parameter,,,rdf,BQM_IS,,
VLC,parameter,,,rdf,BQB_IS,,
VGITissueC,parameter,,,rdf,BQM_IS,,
VGITissueC,parameter,,,rdf,BQB_IS,,
VL,parameter,,,rdf,BQM_IS,,
VL,parameter,,,rdf,BQB_IS,,
VGITissue,parameter,,,rdf,BQM_IS,,
VGITissue,parameter,,,rdf,BQB_IS,,
VPlasma,parameter,,,rdf,BQM_IS,,
VPlasma,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
Hct,parameter,,,rdf,BQM_IS,,
Hct,parameter,,,rdf,BQB_IS,,
QCPlasma,parameter,,,rdf,BQM_IS,,
QCPlasma,parameter,,,rdf,BQB_IS,,
QGIc,parameter,,,rdf,BQM_IS,,
QGIc,parameter,,,rdf,BQB_IS,,
QLc,parameter,,,rdf,BQM_IS,,
QLc,parameter,,,rdf,BQB_IS,,
QGI,parameter,,,rdf,BQM_IS,,
QGI,parameter,,,rdf,BQB_IS,,
QL,parameter,,,rdf,BQM_IS,,
QL,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
PL,parameter,,,rdf,BQM_IS,,
PL,parameter,,,rdf,BQB_IS,,
PGI,parameter,,,rdf,BQM_IS,,
PGI,parameter,,,rdf,BQB_IS,,
PRest,parameter,,,rdf,BQM_IS,,
PRest,parameter,,,rdf,BQB_IS,,
ksto,parameter,,,rdf,BQM_IS,,
ksto,parameter,,,rdf,BQB_IS,,
kabs,parameter,,,rdf,BQM_IS,,
kabs,parameter,,,rdf,BQB_IS,,
Fa,parameter,,,rdf,BQM_IS,,
Fa,parameter,,,rdf,BQB_IS,,
CLintC,parameter,,,rdf,BQM_IS,,
CLintC,parameter,,,rdf,BQB_IS,,
CLint,parameter,,,rdf,BQM_IS,,
CLint,parameter,,,rdf,BQB_IS,,
CLintB,parameter,,,rdf,BQM_IS,,
CLintB,parameter,,,rdf,BQB_IS,,
CGITissue,parameter,,,rdf,BQM_IS,,
CGITissue,parameter,,,rdf,BQB_IS,,
CLiver,parameter,,,rdf,BQM_IS,,
CLiver,parameter,,,rdf,BQB_IS,,
CPlasma,parameter,,,rdf,BQM_IS,,
CPlasma,parameter,,,rdf,BQB_IS,,
CRest,parameter,,,rdf,BQM_IS,,
CRest,parameter,,,rdf,BQB_IS,,
Met,parameter,,,rdf,BQM_IS,,
Met,parameter,,,rdf,BQB_IS,,
