idModelInstance,Parameter,Value,Unit,Description,Reference
Sharma_2018_BisphenolA_Human_PARAM,BW,70.0,kg,body weight,
Sharma_2018_BisphenolA_Human_PARAM,VLc,0.026,L/kg,Volume fraction of liver to bodyweight,
Sharma_2018_BisphenolA_Human_PARAM,VPlasmac,0.0428,L/kg,Volume fraction of plasma to bodyweight,
Sharma_2018_BisphenolA_Human_PARAM,VGc,0.016,L/kg,Volume fraction of gut to bodyweight,
Sharma_2018_BisphenolA_Human_PARAM,QLc,0.025,dimensionless,Blood flow to liver constant,
Sharma_2018_BisphenolA_Human_PARAM,QGc,0.016,dimensionless,Blood flow to gut constant,
Sharma_2018_BisphenolA_Human_PARAM,Hct,0.45,dimensionless,Hematocrit,
Sharma_2018_BisphenolA_Human_PARAM,fup,0.965,dimensionless,unbound fraction,
Sharma_2018_BisphenolA_Human_PARAM,k0C,0.0,,Intrinsic stomach absorption rate constant,
Sharma_2018_BisphenolA_Human_PARAM,kstoC,3.5,,intrinsic gastric emptying rate constant,
Sharma_2018_BisphenolA_Human_PARAM,kabsC,9.0,,intrinsic absorption rate constant,
Sharma_2018_BisphenolA_Human_PARAM,VmaxGMet1C,1.4,,Glucuronidation - Vmax,
Sharma_2018_BisphenolA_Human_PARAM,KmGMet1,58.0,umol,Glucuronidation - Km,
Sharma_2018_BisphenolA_Human_PARAM,VmaxLMet1C,4.71,,Glucuronidation - Vmax,
Sharma_2018_BisphenolA_Human_PARAM,KmLMet1,45.8,umol,Glucuronidation - Km,
Sharma_2018_BisphenolA_Human_PARAM,VmaxLMet2C,149.0,umol/h/kg,Sulfation - Vmax,
Sharma_2018_BisphenolA_Human_PARAM,KmLMet2,10.1,umol,Sulfation - Km,
Sharma_2018_BisphenolA_Human_PARAM,PL,0.73,dimensionless,Partition coefficient - liver,
Sharma_2018_BisphenolA_Human_PARAM,PRest,1.0,dimensionless,Partition coefficient - rest of body,
