idModelInstance,Parameter,Value,Unit,Description,Reference
Sharma_2018_BisphenolA_Human_PARAM,BW,70.0,,body weight,
Sharma_2018_BisphenolA_Human_PARAM,VLc,0.026,,,
Sharma_2018_BisphenolA_Human_PARAM,VPlasmac,0.0428,,,
Sharma_2018_BisphenolA_Human_PARAM,VGc,0.017,,,
Sharma_2018_BisphenolA_Human_PARAM,VL,,,,
Sharma_2018_BisphenolA_Human_PARAM,VPlasma,,,,
Sharma_2018_BisphenolA_Human_PARAM,VG,,,,
Sharma_2018_BisphenolA_Human_PARAM,QC,,,,
Sharma_2018_BisphenolA_Human_PARAM,QLc,0.026,,,
Sharma_2018_BisphenolA_Human_PARAM,QGc,0.016,,,
Sharma_2018_BisphenolA_Human_PARAM,QL,,,,
Sharma_2018_BisphenolA_Human_PARAM,QG,,,,
Sharma_2018_BisphenolA_Human_PARAM,QRest,,,,
Sharma_2018_BisphenolA_Human_PARAM,Hct,0.45,,,
Sharma_2018_BisphenolA_Human_PARAM,fup,0.965,,,
Sharma_2018_BisphenolA_Human_PARAM,k0C,0.0,,,
Sharma_2018_BisphenolA_Human_PARAM,k0,,,,
Sharma_2018_BisphenolA_Human_PARAM,kstoC,3.5,,,
Sharma_2018_BisphenolA_Human_PARAM,ksto,,,,
Sharma_2018_BisphenolA_Human_PARAM,kabsC,9.0,,,
Sharma_2018_BisphenolA_Human_PARAM,kabs,,,,
Sharma_2018_BisphenolA_Human_PARAM,VmaxGMet1C,1.4,,,
Sharma_2018_BisphenolA_Human_PARAM,VmaxGMet1,,,,
Sharma_2018_BisphenolA_Human_PARAM,KmGMet1,58.0,,,
Sharma_2018_BisphenolA_Human_PARAM,VmaxLMet1C,4.71,,,
Sharma_2018_BisphenolA_Human_PARAM,VmaxLMet1,,,,
Sharma_2018_BisphenolA_Human_PARAM,KmLMet1,45.8,,,
Sharma_2018_BisphenolA_Human_PARAM,VmaxLMet2C,149.0,,,
Sharma_2018_BisphenolA_Human_PARAM,VmaxLMet2,,,,
Sharma_2018_BisphenolA_Human_PARAM,KmLMet2,10.1,,,
Sharma_2018_BisphenolA_Human_PARAM,PL,0.73,,,
Sharma_2018_BisphenolA_Human_PARAM,PRest,1.0,,,
