element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Stomach,compartment,stomach,,rdf,BQM_IS,,
IntestinalLumen,compartment,,,rdf,BQM_IS,,
Spleen,compartment,spleen,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00492,
SmallIntestine,compartment,,,rdf,BQM_IS,,
Liver,compartment,liver,,rdf,BQM_IS,,
Blood,compartment,blood,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
Rest,compartment,rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
ASt,species,,,rdf,BQM_IS,,
ASt,species,,,rdf,BQB_IS,,
AIL,species,,,rdf,BQM_IS,,
AIL,species,,,rdf,BQB_IS,,
ASpleen,species,,,rdf,BQM_IS,,
ASpleen,species,,,rdf,BQB_IS,,
ASI,species,,,rdf,BQM_IS,,
ASI,species,,,rdf,BQB_IS,,
ALiver,species,amount of chemical in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,,
ABlood,species,amount of chemical in blood,,rdf,BQM_IS,,
ABlood,species,,,rdf,BQB_IS,,
ARest,species,amount of chemical in rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,,
AMet,species,,,rdf,BQM_IS,,
AMet,species,,,rdf,BQB_IS,,
BW,parameter,body weight,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
VL,parameter,,,rdf,BQM_IS,,
VL,parameter,,,rdf,BQB_IS,,
VB,parameter,,,rdf,BQM_IS,,
VB,parameter,,,rdf,BQB_IS,,
VSt,parameter,,,rdf,BQM_IS,,
VSt,parameter,,,rdf,BQB_IS,,
VSpleen,parameter,,,rdf,BQM_IS,,
VSpleen,parameter,,,rdf,BQB_IS,,
VSI,parameter,,,rdf,BQM_IS,,
VSI,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
QL,parameter,,,rdf,BQM_IS,,
QL,parameter,,,rdf,BQB_IS,,
QSpleen,parameter,,,rdf,BQM_IS,,
QSpleen,parameter,,,rdf,BQB_IS,,
QSt,parameter,,,rdf,BQM_IS,,
QSt,parameter,,,rdf,BQB_IS,,
QSI,parameter,,,rdf,BQM_IS,,
QSI,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
RBS,parameter,,,rdf,BQM_IS,,
RBS,parameter,,,rdf,BQB_IS,,
PL,parameter,,,rdf,BQM_IS,,
PL,parameter,,,rdf,BQB_IS,,
PSpleen,parameter,,,rdf,BQM_IS,,
PSpleen,parameter,,,rdf,BQB_IS,,
PSt,parameter,,,rdf,BQM_IS,,
PSt,parameter,,,rdf,BQB_IS,,
PSI,parameter,,,rdf,BQM_IS,,
PSI,parameter,,,rdf,BQB_IS,,
PRest,parameter,,,rdf,BQM_IS,,
PRest,parameter,,,rdf,BQB_IS,,
kabs,parameter,,,rdf,BQM_IS,,
kabs,parameter,,,rdf,BQB_IS,,
CLint,parameter,,,rdf,BQM_IS,,
CLint,parameter,,,rdf,BQB_IS,,
CIL,parameter,,,rdf,BQM_IS,,
CIL,parameter,,,rdf,BQB_IS,,
CSI,parameter,,,rdf,BQM_IS,,
CSI,parameter,,,rdf,BQB_IS,,
CSpleen,parameter,,,rdf,BQM_IS,,
CSpleen,parameter,,,rdf,BQB_IS,,
CSt,parameter,,,rdf,BQM_IS,,
CSt,parameter,,,rdf,BQB_IS,,
CLiver,parameter,,,rdf,BQM_IS,,
CLiver,parameter,,,rdf,BQB_IS,,
CBlood,parameter,,,rdf,BQM_IS,,
CBlood,parameter,,,rdf,BQB_IS,,
CRest,parameter,,,rdf,BQM_IS,,
CRest,parameter,,,rdf,BQB_IS,,
Met,parameter,,,rdf,BQM_IS,,
Met,parameter,,,rdf,BQB_IS,,
