idModelInstance,Parameter,Value,Unit,Description,Reference
Shin2004_BPA_Human_PARAM,BW,70.0,,body weight,
Shin2004_BPA_Human_PARAM,VL,,,,
Shin2004_BPA_Human_PARAM,VB,,,,
Shin2004_BPA_Human_PARAM,VSt,,,,
Shin2004_BPA_Human_PARAM,VSpleen,,,,
Shin2004_BPA_Human_PARAM,VSI,,,,
Shin2004_BPA_Human_PARAM,QC,,,,
Shin2004_BPA_Human_PARAM,QL,,,,
Shin2004_BPA_Human_PARAM,QSpleen,,,,
Shin2004_BPA_Human_PARAM,QSt,,,,
Shin2004_BPA_Human_PARAM,QSI,,,,
Shin2004_BPA_Human_PARAM,QRest,,,,
Shin2004_BPA_Human_PARAM,RBS,1.1,,,
Shin2004_BPA_Human_PARAM,PL,5.7,,,
Shin2004_BPA_Human_PARAM,PSpleen,2.8,,,
Shin2004_BPA_Human_PARAM,PSt,4.6,,,
Shin2004_BPA_Human_PARAM,PSI,45.96,,,
Shin2004_BPA_Human_PARAM,PRest,1.0,,,
Shin2004_BPA_Human_PARAM,kabs,,,,
Shin2004_BPA_Human_PARAM,CLint,116.6,,,
