element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
GILumen,compartment,,,rdf,BQM_IS,,
Liver,compartment,liver,,rdf,BQM_IS,,
Blood,compartment,blood,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
Rest,compartment,rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Feces,compartment,feces,,rdf,BQM_IS,,
AGILumen,species,,,rdf,BQM_IS,,
AGILumen,species,,,rdf,BQB_IS,,
ALiver,species,amount of chemical in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,,
ABlood,species,amount of chemical in blood,,rdf,BQM_IS,,
ABlood,species,,,rdf,BQB_IS,,
ARest,species,amount of chemical in rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,,
ALiverMet,species,,,rdf,BQM_IS,,
ALiverMet,species,,,rdf,BQB_IS,,
AGILumenMet,species,,,rdf,BQM_IS,,
AGILumenMet,species,,,rdf,BQB_IS,,
ABloodMet,species,,,rdf,BQM_IS,,
ABloodMet,species,,,rdf,BQB_IS,,
AFecesMet,species,,,rdf,BQM_IS,,
AFecesMet,species,,,rdf,BQB_IS,,
BW,parameter,body weight,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
VLc,parameter,,,rdf,BQM_IS,,
VLc,parameter,,,rdf,BQB_IS,,
VBc,parameter,,,rdf,BQM_IS,,
VBc,parameter,,,rdf,BQB_IS,,
VL,parameter,,,rdf,BQM_IS,,
VL,parameter,,,rdf,BQB_IS,,
VB,parameter,,,rdf,BQM_IS,,
VB,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
QCc,parameter,,,rdf,BQM_IS,,
QCc,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
QLc,parameter,,,rdf,BQM_IS,,
QLc,parameter,,,rdf,BQB_IS,,
QL,parameter,,,rdf,BQM_IS,,
QL,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
PL,parameter,,,rdf,BQM_IS,,
PL,parameter,,,rdf,BQB_IS,,
PRest,parameter,,,rdf,BQM_IS,,
PRest,parameter,,,rdf,BQB_IS,,
RBP,parameter,,,rdf,BQM_IS,,
RBP,parameter,,,rdf,BQB_IS,,
kabsMet1C,parameter,,,rdf,BQM_IS,,
kabsMet1C,parameter,,,rdf,BQB_IS,,
kabsMet1,parameter,,,rdf,BQM_IS,,
kabsMet1,parameter,,,rdf,BQB_IS,,
VmaxLMetC,parameter,,,rdf,BQM_IS,,
VmaxLMetC,parameter,,,rdf,BQB_IS,,
VmaxLMet,parameter,,,rdf,BQM_IS,,
VmaxLMet,parameter,,,rdf,BQB_IS,,
KmLMet,parameter,,,rdf,BQM_IS,,
KmLMet,parameter,,,rdf,BQB_IS,,
MW,parameter,,,rdf,BQM_IS,,
MW,parameter,,,rdf,BQB_IS,,
MWMet,parameter,,,rdf,BQM_IS,,
MWMet,parameter,,,rdf,BQB_IS,,
BileFrac,parameter,,,rdf,BQM_IS,,
BileFrac,parameter,,,rdf,BQB_IS,,
kehrMet1C,parameter,,,rdf,BQM_IS,,
kehrMet1C,parameter,,,rdf,BQB_IS,,
kehrMet1,parameter,,,rdf,BQM_IS,,
kehrMet1,parameter,,,rdf,BQB_IS,,
kfeC,parameter,,,rdf,BQM_IS,,
kfeC,parameter,,,rdf,BQB_IS,,
kfe,parameter,,,rdf,BQM_IS,,
kfe,parameter,,,rdf,BQB_IS,,
CBlood,parameter,,,rdf,BQM_IS,,
CBlood,parameter,,,rdf,BQB_IS,,
CLiver,parameter,,,rdf,BQM_IS,,
CLiver,parameter,,,rdf,BQB_IS,,
CRest,parameter,,,rdf,BQM_IS,,
CRest,parameter,,,rdf,BQB_IS,,
CPlasma,parameter,,,rdf,BQM_IS,,
CPlasma,parameter,,,rdf,BQB_IS,,
