idModelInstance,Parameter,Value,Unit,Description,Reference
Teeguarden2005_BPA_Human_PARAM,BW,78.0,kg,body weight,
Teeguarden2005_BPA_Human_PARAM,VLc,0.026,L/kg,Volume fraction of liver to bodyweight,
Teeguarden2005_BPA_Human_PARAM,VBc,0.079,L/kg,Volume fraction of blood to bodyweight,
Teeguarden2005_BPA_Human_PARAM,QCc,12.9,L/h/kg^0.75,Cardiac output constant,
Teeguarden2005_BPA_Human_PARAM,PL,1.46,dimensionless,Partition coefficient - liver,
Teeguarden2005_BPA_Human_PARAM,PRest,1.0,dimensionless,Partition coefficient - rest of body,
Teeguarden2005_BPA_Human_PARAM,RBP,0.83,dimensionless,Blood plasma ratio,
Teeguarden2005_BPA_Human_PARAM,kabsMet1C,10.0,1/h/kg^-0.25,Intrinsic uptake from stomach to liver constant,
Teeguarden2005_BPA_Human_PARAM,VmaxLMetC,850.0,mg/h/kg^0.75,Glucuronidation - Vmax,
Teeguarden2005_BPA_Human_PARAM,KmLMet,10.0,mg/L,Glucuronidation - Km,
Teeguarden2005_BPA_Human_PARAM,MW,228.8,g/mol,Molecular weight,
Teeguarden2005_BPA_Human_PARAM,MWMet,404.4,g/mol,Molecular weight,
Teeguarden2005_BPA_Human_PARAM,BileFrac,0.1,dimensionless,% of metabolite that goes to bile,
Teeguarden2005_BPA_Human_PARAM,kehrMet1C,0.5,1/h/kg^-0.25,Enterohepatic recirculation constant metabolite,
Teeguarden2005_BPA_Human_PARAM,kfeC,0.0,1/h/kg^-0.25,Fecal elimination constant,
