idModelInstance,Parameter,Value,Unit,Description,Reference
Yang2015_BPA_Human_PARAM,BW,70.0,,body weight,
Yang2015_BPA_Human_PARAM,VLc,0.026,,,
Yang2015_BPA_Human_PARAM,VPlasmac,0.0435,,,
Yang2015_BPA_Human_PARAM,VL,,,,
Yang2015_BPA_Human_PARAM,VPlasma,,,,
Yang2015_BPA_Human_PARAM,enterocytes,0.1223,,,
Yang2015_BPA_Human_PARAM,QC,,,,
Yang2015_BPA_Human_PARAM,QLc,0.24,,,
Yang2015_BPA_Human_PARAM,QL,,,,
Yang2015_BPA_Human_PARAM,QRest,,,,
Yang2015_BPA_Human_PARAM,PL,0.73,,,
Yang2015_BPA_Human_PARAM,PRest,1.0,,,
Yang2015_BPA_Human_PARAM,kstoC,3.5,,,
Yang2015_BPA_Human_PARAM,ksto,,,,
Yang2015_BPA_Human_PARAM,k0C,0.0,,,
Yang2015_BPA_Human_PARAM,k0,,,,
Yang2015_BPA_Human_PARAM,kabsC,2.0,,,
Yang2015_BPA_Human_PARAM,kabs,,,,
Yang2015_BPA_Human_PARAM,kfeC,0.0,,,
Yang2015_BPA_Human_PARAM,kfeMet1C,0.0,,,
Yang2015_BPA_Human_PARAM,kabsMet1C,50.0,,,
Yang2015_BPA_Human_PARAM,kabsMet2C,0.0,,,
Yang2015_BPA_Human_PARAM,EHRrateC,0.2,,,
Yang2015_BPA_Human_PARAM,kehrMet1C,0.0,,,
Yang2015_BPA_Human_PARAM,kehrMet2C,0.0,,,
Yang2015_BPA_Human_PARAM,BileFracSIMet1,0.1,,,
Yang2015_BPA_Human_PARAM,BileFracSIMet2,0.0,,,
Yang2015_BPA_Human_PARAM,fGutMet1,1.0,,,
Yang2015_BPA_Human_PARAM,KmGILumenMet1,58400.0,,,
Yang2015_BPA_Human_PARAM,VmaxGILumenMet1c,22750.0,,,
Yang2015_BPA_Human_PARAM,fGutMet2,0.0,,,
Yang2015_BPA_Human_PARAM,KmGILumenMet2,4700.0,,,
Yang2015_BPA_Human_PARAM,VmaxGILumenMet2c,0.0,,,
Yang2015_BPA_Human_PARAM,BileFracLMet1,0.1,,,
Yang2015_BPA_Human_PARAM,BileFracLMet2,0.0,,,
Yang2015_BPA_Human_PARAM,fLiverMet1,1.0,,,
Yang2015_BPA_Human_PARAM,KmLMet1,45800.0,,,
Yang2015_BPA_Human_PARAM,VmaxLMet1c,707537.0,,,
Yang2015_BPA_Human_PARAM,fLiverMet2,1.0,,,
Yang2015_BPA_Human_PARAM,KmLMet2,4700.0,,,
Yang2015_BPA_Human_PARAM,VmaxLMet2c,0.0,,,
