element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ug,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,d,,,,
volumeUnits,document,model volume unit,L,,,,
GI,compartment,Gastro-intestinal compartment,L,rdf,BQM_IS,,
Intestinal_Tissue,compartment,Intestinal tissue compartment,L,rdf,BQM_IS,,
Liver,compartment,Liver compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Kidney,compartment,Kidney compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00557,
Plasma,compartment,Plasma compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Red_Blood_Cell,compartment,Red blood cells compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00634,
Metallothionein,compartment,Mettalothioneine blood compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00552,
Rest,compartment,Rest of body compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Daily_Uptake,compartment,,L,rdf,BQM_IS,,
AGI,species,Amount in gastrointestinal compartment,ug,rdf,BQM_IS,,
AGI,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ATI,species,Amount in intestinal tissue,ug,rdf,BQM_IS,,
ATI,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ALiver,species,Amoun in liver,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
AKidney,species,Amoun in kidney,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00498,
AKidney,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
APlasma,species,Amount in plasma,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ARBC,species,Amount in red blood cells,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
ARBC,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
AMetallothionein,species,Amount in mettalothioneine bloood,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
AMetallothionein,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ARest,species,Amount in rest of body,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ADaily_Uptake,species,Amount of daily uptake,ug,rdf,BQM_IS,,
ADaily_Uptake,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
Age,parameter,Age,y,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00521,
Age,parameter,,,rdf,BQB_IS,,
BW,parameter,Body weight,kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
C5,parameter,fraction of GI-tract cadmium retained in epithelium,UNITLESS,rdf,BQM_IS,,
C5,parameter,,,rdf,BQB_IS,,
C6,parameter,rate of transfer of cadmium in the GI-tract to uptake poo,/d,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00528,
C6,parameter,,,rdf,BQB_IS,,
C7,parameter,fraction of uptake pool transferred to blood pool B4,UNITLESS,rdf,BQM_IS,,
C7,parameter,,,rdf,BQB_IS,,
C8,parameter,maximum mass of cadmium in uptake pool,ug,rdf,BQM_IS,,
C8,parameter,,,rdf,BQB_IS,,
C9,parameter,rate of transfer from blood pool B1 (plasma ) to other tissues,UNITLESS,rdf,BQM_IS,,
C9,parameter,,,rdf,BQB_IS,,
C10,parameter,rate of transfer of cadmium in other tissues to blood pool B1 (plasma),/d,rdf,BQM_IS,,
C10,parameter,,,rdf,BQB_IS,,
C12,parameter,"rate of transfer of cadmium in blood pool B1 to liver,",/d,rdf,BQM_IS,,
C12,parameter,,,rdf,BQB_IS,,
C13,parameter,rate of transfer of cadmium in liver to blood pool B1,/d,rdf,BQM_IS,,
C13,parameter,,,rdf,BQB_IS,,
C14,parameter,rate of transfer of cadmium in liver to blood pool B3 (mettalothioneine),/d,rdf,BQM_IS,,
C14,parameter,,,rdf,BQB_IS,,
C16,parameter, rate of transfer of cadmium in blood pool B2 to blood pool B3,/d,rdf,BQM_IS,,
C16,parameter,,,rdf,BQB_IS,,
C17,parameter, rate of transfer of cadmium in blood pool B3 to kidney,/d,rdf,BQM_IS,,
C17,parameter,,,rdf,BQB_IS,,
C18,parameter,rate of transfer of cadmium in kidney to blood pool B1,/d,rdf,BQM_IS,,
C18,parameter,,,rdf,BQB_IS,,
CX,parameter,rate of transfer of cadmium in B1 to blood B2 (erythocytes),UNITLESS,rdf,BQM_IS,,
CX,parameter,,,rdf,BQB_IS,,
