element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,mg,,,,
extentUnits,document,model extent unit,mg,,,,
timeUnits,document,model time unit,d,,,,
volumeUnits,document,model volume unit,L,,,,
Carrier2001_Hg_Human,model,,,rdf,BQB_IS_DESCRIBED_BY,https://doi.org/10.1006/taap.2000.9113,
Carrier2001_Hg_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_16170,
Carrier2001_Hg_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
GI,compartment,Gastrointestinal compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Blood,compartment,Blood compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
Rest,compartment,Rest of body compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Hair,compartment,Hair compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00479,
Liver,compartment,Liver compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
AGI,species,Amount in gastrointestinal compartment,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGI,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_16170,
ABlood,species,Amount in blood,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
ABlood,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_16170,
ARest,species,Amount in rest of body,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_16170,
AHair,species,Amount in hair,mg,rdf,BQM_IS,,
AHair,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_16170,
ALiver_Met,species,Amount in liver (metabolised),mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver_Met,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_16170,
kabs,parameter,Oral absorption rate constant,/d,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_03075,
kabs,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_16170,
Frac,parameter,Bioavailability,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00263,
Frac,parameter,,,rdf,BQB_IS,,
kmet_liver,parameter,Metabolism rate constant,/d,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_03027,
kmet_liver,parameter,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_16170,
kqh,parameter,Transfer rate to hair,/d,rdf,BQM_IS,,
kqh,parameter,,,rdf,BQB_IS,,
kelim_all,parameter,Whole body elimination rate,/d,rdf,BQM_IS,,
kelim_all,parameter,,,rdf,BQB_IS,,
kelim,parameter,Whole body elimination rate - excluding hair,/d,rdf,BQM_IS,,
kelim,parameter,,,rdf,BQB_IS,,
K,parameter,Constant ratio [Whole body burder/Blood],UNITLESS,rdf,BQM_IS,,
K,parameter,,,rdf,BQB_IS,,
