idModelInstance,Parameter,Value,Unit,Description,Reference
Ou2018_Hg_Human_PARAM,Age,30.0,y,Age,
Ou2018_Hg_Human_PARAM,BW,70.0,kg,Bodyweight,
Ou2018_Hg_Human_PARAM,VGut_lumenc,0.014,L,Gut lumen volume,
Ou2018_Hg_Human_PARAM,VGc,0.017,L/kg,Volume of gut constant,
Ou2018_Hg_Human_PARAM,VLc,0.026,L/kg,Volume of liver constant,
Ou2018_Hg_Human_PARAM,VRBCc,0.024,L/kg,Volume of red blood cells constant,
Ou2018_Hg_Human_PARAM,VPlasmac,0.024,L/kg,Volume of plasma constant,
Ou2018_Hg_Human_PARAM,VGut_lumen,,L,Volume of gut lumen,
Ou2018_Hg_Human_PARAM,VG,,L,Volume of gut,
Ou2018_Hg_Human_PARAM,VL,,L,Volume of liver,
Ou2018_Hg_Human_PARAM,VRBC,,L,Volume of red blood cells,
Ou2018_Hg_Human_PARAM,VPlasma,,L,Volume of plasma,
Ou2018_Hg_Human_PARAM,QC,,L/h,Cardiac output,
Ou2018_Hg_Human_PARAM,QLc,0.046,dimensionless,Cardiac output fraction to liver,
Ou2018_Hg_Human_PARAM,QGc,0.181,dimensionless,Cardiac output fraction to gut,
Ou2018_Hg_Human_PARAM,Qrbcc,1.5,dimensionless,Cardiac output fraction red blood cells,
Ou2018_Hg_Human_PARAM,QGI,,L/h,Cardiac output to gut,
Ou2018_Hg_Human_PARAM,QL,,L/h,Cardiac output to liver,
Ou2018_Hg_Human_PARAM,QRest,,L/h,Cardiac output to rest of body,
Ou2018_Hg_Human_PARAM,Qrbc,,L/h,Cardiac output rate red blood cells,
Ou2018_Hg_Human_PARAM,kabsc,0.005,dimensionless,reabsorption rate in gut constant,
Ou2018_Hg_Human_PARAM,kabs,,dimensionless,reabsorption rate in gut,
Ou2018_Hg_Human_PARAM,Frac,0.95,dimensionless,,
Ou2018_Hg_Human_PARAM,PGI,1.0,dimensionless,Partition coefficient blood-gut,
Ou2018_Hg_Human_PARAM,PL,5.0,dimensionless,Partition coefficient blood-liver,
Ou2018_Hg_Human_PARAM,PRBC,14.0,dimensionless,Partition coefficient red blood cells,
Ou2018_Hg_Human_PARAM,PRest,1.0,dimensionless,Partition coefficient blood- rest body,
Ou2018_Hg_Human_PARAM,kfec,0.0002,dimensionless,fecal elimination rate,
Ou2018_Hg_Human_PARAM,kfe,,dimensionless,fecal elimination rate,
Ou2018_Hg_Human_PARAM,kmet_gutlumenc,0.0001,dimensionless,metabolism rate constant in gut,
Ou2018_Hg_Human_PARAM,kmet_gutlumen,,dimensionless,Metabolism rate constant in gut,
Ou2018_Hg_Human_PARAM,kmet_liverc,1e-05,dimensionless,metabolism rate constant in liver,
Ou2018_Hg_Human_PARAM,kmet_liver,,dimensionless,metabolism rate in liver,
Ou2018_Hg_Human_PARAM,kbiliaryc,0.0001,dimensionless,Biliary clearance,
Ou2018_Hg_Human_PARAM,kbiliary,,dimensionless,Biliary clearance,
