idModelInstance,Parameter,Value,Unit,Description,Reference
Clewell_Hg_Human_PARAM,Age,30.0,y,Age,
Clewell_Hg_Human_PARAM,BW,70.0,kg,Bodyweight,
Clewell_Hg_Human_PARAM,VGut_lumenc,0.014,L,Gut lumen volume,
Clewell_Hg_Human_PARAM,VGc,0.017,L/kg,Volume of gut constant,
Clewell_Hg_Human_PARAM,VLc,0.026,L/kg,Volume of liver constant,
Clewell_Hg_Human_PARAM,VRBCc,0.024,L/kg,Volume of red blood cells constant,
Clewell_Hg_Human_PARAM,VPlasmac,0.024,L/kg,Volume of plasma constant,
Clewell_Hg_Human_PARAM,QLc,0.046,dimensionless,Cardiac output fraction to liver,
Clewell_Hg_Human_PARAM,QGc,0.181,dimensionless,Cardiac output fraction to gut,
Clewell_Hg_Human_PARAM,Qrbcc,1.5,dimensionless,Cardiac output fraction red blood cells,
Clewell_Hg_Human_PARAM,kabsc,0.005,dimensionless,reabsorption rate in gut constant,
Clewell_Hg_Human_PARAM,Frac,0.95,dimensionless,,
Clewell_Hg_Human_PARAM,PGI,1.0,dimensionless,Partition coefficient blood-gut,
Clewell_Hg_Human_PARAM,PL,5.0,dimensionless,Partition coefficient blood-liver,
Clewell_Hg_Human_PARAM,PRBC,14.0,dimensionless,Partition coefficient red blood cells,
Clewell_Hg_Human_PARAM,PRest,1.0,dimensionless,Partition coefficient blood- rest body,
Clewell_Hg_Human_PARAM,kfec,0.0002,dimensionless,fecal elimination rate,
Clewell_Hg_Human_PARAM,kmet_gutlumenc,0.0001,dimensionless,metabolism rate constant in gut,
Clewell_Hg_Human_PARAM,kmet_liverc,1e-05,dimensionless,metabolism rate constant in liver,
Clewell_Hg_Human_PARAM,kbiliaryc,0.0001,dimensionless,Biliary clearance,
