element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
ElMasri2008_As_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_190436,
ElMasri2008_As_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
Lumen,compartment,Compartment of lumen,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00478,
Gut,compartment,Compartment of Gut,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Liver,compartment,Compartment of liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Lung,compartment,Compartment of lung,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00559,
Arterial,compartment,Compartment of arterial blood,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00552,
Venous,compartment,Compartment of venous blood,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00561,
Rest,compartment,Compartment of rest of the body,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Urine,compartment,Compartment of urine,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00556,
ALumen_As3,species,Amount of As3+ in lumen,,rdf,BQM_IS,,
ALumen_As3,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35828,
ALumen_As5,species,Amount of As5+ in lumen,,rdf,BQM_IS,,
ALumen_As5,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35829,
AGut_As3,species,Amount of As3+ in gut,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGut_As3,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35828,
AGut_As5,species,Amount of As5+ in gut,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGut_As5,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35829,
AGut_AsM5,species,Amount of MMA5 in gut,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGut_AsM5,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_29852,
AGut_AsD5,species,Amount of DMA5 in Gut,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGut_AsD5,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_48765,
AArterial_AsD5,species,Amount of DMA5 in arterial blood,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00631,
AArterial_AsD5,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_48765,
ALiver_As3,species,Amount of As3+ in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver_As3,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35828,
ALiver_As5,species,Amount of As5+ in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver_As5,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35829,
ALiver_AsM3,species,Amount of MMA3 in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver_AsM3,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_17826,
ALiver_AsM5,species,Amount of MMA5 in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver_AsM5,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_29852,
ALiver_AsD3,species,Amount of DMA3 in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver_AsD3,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_23808,
ALiver_AsD5,species,Amount od DMA5 in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver_AsD5,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_48765,
ARest_As3,species,Amount of As3+ in rest of the body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest_As3,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35828,
ARest_As5,species,Amount of As5+ in rest of the body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest_As5,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35829,
