idModelInstance,Parameter,Value,Unit,Description,Reference
ElMasri2008_As_Human_Male_PARAM,BW,70.0,kg,Bodyweight,
ElMasri2008_As_Human_Male_PARAM,VGut,1.2,dimensionless,Volume of gut,
ElMasri2008_As_Human_Male_PARAM,VL,1.82,dimensionless,Volume of liver,
ElMasri2008_As_Human_Male_PARAM,VLung,0.56,dimensionless,Volume of lung,
ElMasri2008_As_Human_Male_PARAM,VB,5.53,dimensionless,Volume of blood,
ElMasri2008_As_Human_Male_PARAM,Frac,0.8,dimensionless,Fraction of absorption,
ElMasri2008_As_Human_Male_PARAM,PG_As3,8.3,dimensionless,Partition coefficient Gut / Plasma of As3+,
ElMasri2008_As_Human_Male_PARAM,PG_As5,2.7,dimensionless,Partition coefficient Gut / Plasma of As5+,
ElMasri2008_As_Human_Male_PARAM,PG_AsM,2.2,dimensionless,Partition coefficient Gut / Plasma of MMA,
ElMasri2008_As_Human_Male_PARAM,PG_AsD,2.1,dimensionless,Partition coefficient Gut / Plasma of DMA,
ElMasri2008_As_Human_Male_PARAM,PL_As3,16.5,dimensionless,Partition coefficient Liver / Plasma of As3+,
ElMasri2008_As_Human_Male_PARAM,PL_As5,15.8,dimensionless,Partition coefficient Liver / Plasma of As5+,
ElMasri2008_As_Human_Male_PARAM,PL_AsM,3.3,dimensionless,Partition coefficient Liver / Plasma of MMA,
ElMasri2008_As_Human_Male_PARAM,PL_AsD,3.3,dimensionless,Partition coefficient Liver / Plasma of DMA,
ElMasri2008_As_Human_Male_PARAM,kox_As3,0.25,/h,Oxydation factor of As3+,
ElMasri2008_As_Human_Male_PARAM,kred_As5,,/h,Reduction factor of As5+,
ElMasri2008_As_Human_Male_PARAM,V_As3_MMA,,mol/h,Maximum metabolism from As3+ to MMA,
ElMasri2008_As_Human_Male_PARAM,K_As3_MMA,3e-06,mol/L,Michaelis-Menten binding constant from As3+ to MMA,
ElMasri2008_As_Human_Male_PARAM,Kinh,4e-05,mol/L,Non-competitive inhibition constant,
ElMasri2008_As_Human_Male_PARAM,V_As3_DMA,,mol/h,Maximum metabolism from As3+ to DMA,
ElMasri2008_As_Human_Male_PARAM,K_As3_DMA,3e-06,mol/L,Michaelis-Menten binding constant from As3+ to DMA,
ElMasri2008_As_Human_Male_PARAM,kox_M3,0.63,dimensionless,Oxydation factor of MMA3 to MM5,
ElMasri2008_As_Human_Male_PARAM,K_M3_DMA,3e-06,mol/L,Michaelis-Menten binding from MMA3 to DMA,
ElMasri2008_As_Human_Male_PARAM,kox_D3,0.65,dimensionless,Oxydation factor of DMA3 to DMA5,
ElMasri2008_As_Human_Male_PARAM,PRest_As3,1.0,dimensionless,Partition coefficient Restbody / Plasma of As3+,
ElMasri2008_As_Human_Male_PARAM,PRest_As5,1.0,dimensionless,Partition coefficient Restbody / Plasma of As5+,
ElMasri2008_As_Human_Male_PARAM,PRest_AsM,1.0,dimensionless,Partition coefficient Restbody / Plasma of MMA,
ElMasri2008_As_Human_Male_PARAM,PRest_AsD,1.0,dimensionless,Partition coefficient Restbody / Plasma of DMA,
ElMasri2008_As_Human_Male_PARAM,PLung_As3,6.7,dimensionless,Partition coefficient Lung / Plasma of As3+,
ElMasri2008_As_Human_Male_PARAM,PLung_As5,2.1,dimensionless,Partition coefficient Lung / Plasma of As5+,
ElMasri2008_As_Human_Male_PARAM,PLung_AsM,1.3,dimensionless,Partition coefficient Lung / Plasma of MMA,
ElMasri2008_As_Human_Male_PARAM,PLung_AsD,1.3,dimensionless,Partition coefficient Lung / Plasma of DMA,
ElMasri2008_As_Human_Male_PARAM,Age,30.0,y,,
