element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ug,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,d,,,,
volumeUnits,document,model volume unit,L,,,,
KjellstromNordberg1978_Cd_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_22978,
KjellstromNordberg1978_Cd_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
GI,compartment,Gut compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Intestinal_Tissue,compartment,Intestinal tissue compartment,L,rdf,BQM_IS,,
Liver,compartment,Liver compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Kidney,compartment,Kidney compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00557,
Plasma,compartment,Plasma compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Red_Blood_Cell,compartment,Red blood cells compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00634,
Metallothionein,compartment,Metallothionein blood compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
Rest,compartment,Rest of body compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Daily_Uptake,compartment,Amount of daily uptake,L,rdf,BQM_IS,,
AGI,species,Amount in gut,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGI,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ATI,species,Amount in intestinal tissue,ug,rdf,BQM_IS,,
ATI,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ALiver,species,Amount in liver,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
AKidney,species,Amount in kidney,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00498,
AKidney,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
APlasma,species,Amount in plasma,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ARBC,species,Amount in red blood cells,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
ARBC,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
AMetallothionein,species,Amount in metallothionein blood,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
AMetallothionein,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ARest,species,Amount in rest of body,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
ADaily_Uptake,species,Amount of daily uptake,ug,rdf,BQM_IS,,
ADaily_Uptake,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_22978,
Age,parameter,Age,y,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00521,
Age,parameter,,,rdf,BQB_IS,,
BW,parameter,Bodyweight,kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
C5,parameter,Coefficient,UNITLESS,rdf,BQM_IS,,
C5,parameter,,,rdf,BQB_IS,,
C6,parameter,Coefficient,/d,rdf,BQM_IS,,
C6,parameter,,,rdf,BQB_IS,,
C7,parameter,Coefficient,UNITLESS,rdf,BQM_IS,,
C7,parameter,,,rdf,BQB_IS,,
C8,parameter,Coefficient,mg,rdf,BQM_IS,,
C8,parameter,,,rdf,BQB_IS,,
C9,parameter,Coefficient,UNITLESS,rdf,BQM_IS,,
C9,parameter,,,rdf,BQB_IS,,
C10,parameter,Coefficient,/d,rdf,BQM_IS,,
C10,parameter,,,rdf,BQB_IS,,
C12,parameter,Coefficient,UNITLESS,rdf,BQM_IS,,
C12,parameter,,,rdf,BQB_IS,,
C13,parameter,Coefficient,/d,rdf,BQM_IS,,
C13,parameter,,,rdf,BQB_IS,,
C14,parameter,Coefficient,/d,rdf,BQM_IS,,
C14,parameter,,,rdf,BQB_IS,,
C16,parameter,Coefficient,/d,rdf,BQM_IS,,
C16,parameter,,,rdf,BQB_IS,,
C17,parameter,Coefficient,UNITLESS,rdf,BQM_IS,,
C17,parameter,,,rdf,BQB_IS,,
C18,parameter,Coefficient,/d,rdf,BQM_IS,,
C18,parameter,,,rdf,BQB_IS,,
CX,parameter,Coefficient,UNITLESS,rdf,BQM_IS,,
CX,parameter,,,rdf,BQB_IS,,
