idModelInstance,Parameter,Value,Unit,Description,Reference
KjellstromNordberg1978_Cd_Human_PARAM,C5,0.048,dimensionless,Fraction,
KjellstromNordberg1978_Cd_Human_PARAM,C6,0.05,/d,Rate Constant,
KjellstromNordberg1978_Cd_Human_PARAM,C7,0.25,dimensionless,Fraction,
KjellstromNordberg1978_Cd_Human_PARAM,CX,0.04,dimensionless,Fraction,
KjellstromNordberg1978_Cd_Human_PARAM,C16,0.0209,/d,Rate Constant,
KjellstromNordberg1978_Cd_Human_PARAM,C8,1.0,ug,Maximum amount,
KjellstromNordberg1978_Cd_Human_PARAM,C9,0.44,dimensionless,Rate Constant,
KjellstromNordberg1978_Cd_Human_PARAM,C10,0.00014,/d,Coefficient,
KjellstromNordberg1978_Cd_Human_PARAM,C11,0.27,dimensionless,Fraction,
KjellstromNordberg1978_Cd_Human_PARAM,C17,0.95,dimensionless,Fraction,
