idModelInstance,Parameter,Value,Unit,Description,Reference
Kjellstrom1978_Cd_Human_PARAM,Age,30.0,,,
Kjellstrom1978_Cd_Human_PARAM,BW,70.0,,body weight,
Kjellstrom1978_Cd_Human_PARAM,C5,0.048,,,
Kjellstrom1978_Cd_Human_PARAM,C6,0.05,,,
Kjellstrom1978_Cd_Human_PARAM,C7,0.25,,,
Kjellstrom1978_Cd_Human_PARAM,C8,1.0,,,
Kjellstrom1978_Cd_Human_PARAM,C9,0.44,,,
Kjellstrom1978_Cd_Human_PARAM,C10,0.00014,,,
Kjellstrom1978_Cd_Human_PARAM,C12,0.25,,,
Kjellstrom1978_Cd_Human_PARAM,C13,3e-05,,,
Kjellstrom1978_Cd_Human_PARAM,C14,0.00016,,,
Kjellstrom1978_Cd_Human_PARAM,C16,0.012,,,
Kjellstrom1978_Cd_Human_PARAM,C17,,,,
Kjellstrom1978_Cd_Human_PARAM,C18,1e-05,,,
Kjellstrom1978_Cd_Human_PARAM,CX,0.04,,,
