idModelInstance,Parameter,Value,Unit,Description,Reference
OFlaherty2001_Cr_Human_PARAM,VL,,L,Volume of liver,
OFlaherty2001_Cr_Human_PARAM,Vplasma,,L,Volume of plasma,
OFlaherty2001_Cr_Human_PARAM,VRBC,,L,Volume of red blood cells,
OFlaherty2001_Cr_Human_PARAM,BW,70.0,kg,Bodyweight,
OFlaherty2001_Cr_Human_PARAM,VLc,0.025,dimensionless,Volume fraction of liver,
OFlaherty2001_Cr_Human_PARAM,VRBCc,0.03,dimensionless,Volume fraction of red blood cells,
OFlaherty2001_Cr_Human_PARAM,kabs_Cr6,2.5,mg/d,Rate constant for absorption of Cr(VI) from the GI tract,
OFlaherty2001_Cr_Human_PARAM,kabs_Cr3,0.25,mg/d,Rate constant for absorption of Cr(III) from the GI tract,
OFlaherty2001_Cr_Human_PARAM,kt_Plasma_Cr6,30.0,L/d,Clearance of diffusible Cr(VI) from all other tissues into plasma (L/da),
OFlaherty2001_Cr_Human_PARAM,kt_Plasma_Cr3,3.0,L/d,Clearance of diffusible Cr(III) from all other tissues into plasma (L/da),
OFlaherty2001_Cr_Human_PARAM,kt_Tissues_Cr6,30.0,L/d,Clearance of diffusible Cr(VI) from plasma into all tissues (L/da),
OFlaherty2001_Cr_Human_PARAM,kt_Tissues_Cr3,3.0,L/d,Clearance of diffusible Cr(III) from plasma into all tissues (L/da),
OFlaherty2001_Cr_Human_PARAM,kred_GI,100.0,mg/d,Rate constant for reduction of Cr(VI) to Cr(III) in GI,
OFlaherty2001_Cr_Human_PARAM,kred_Liver,500.0,mg/d,Rate constant for reduction of Cr(VI) to Cr(III) in GI,
OFlaherty2001_Cr_Human_PARAM,kred_RBC,7.0,mg/d,Rate constant for reduction of Cr(VI) to Cr(III) in plasma,
OFlaherty2001_Cr_Human_PARAM,kred_Plasma,2.0,mg/d,Rate constant of reduction in plasma,
OFlaherty2001_Cr_Human_PARAM,kfe,14.0,/d,First-order rate constant for passage of Cr out of the absorption region of the GI tract,
