element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,mg,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,d,,,,
volumeUnits,document,model volume unit,L,,,,
OFlaherty2001_Cr_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_155866,
OFlaherty2001_Cr_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
GI,compartment,Gut compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Liver,compartment,Liver compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Plasma,compartment,Plasma compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
RBC,compartment,Red blood cells compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00634,
Rest,compartment,Rest of body compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Feces,compartment,Feces compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
AGI_Cr3,species,Amount in gut,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGI_Cr3,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_49544,
AGI_Cr6,species,Amount in gut,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGI_Cr6,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33007,
ALiver_Cr3,species,Amount in liver,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver_Cr3,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_49544,
ALiver_Cr6,species,Amount in liver,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver_Cr6,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_33007,
Aplasma_Cr3,species,Amount in plasma,mg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
