idModelInstance,Parameter,Value,Unit,Description,Reference
OFlaherty2000_Pb_Human_Male_PARAM,Age,30.0,y,Age,
OFlaherty2000_Pb_Human_Male_PARAM,BW,70.0,kg,Bodyweight,
OFlaherty2000_Pb_Human_Male_PARAM,VLc,0.025,L/kg,Volume fraction of liver,
OFlaherty2000_Pb_Human_Male_PARAM,VBc,0.067,L/kg,Volume fraction of blood,
OFlaherty2000_Pb_Human_Male_PARAM,VL,,L,Volume of liver,
OFlaherty2000_Pb_Human_Male_PARAM,VB,,L,Volume of blood,
OFlaherty2000_Pb_Human_Male_PARAM,QC,,L/h,Cardiac output,
OFlaherty2000_Pb_Human_Male_PARAM,QLc,0.25,dimensionless,Cardiac output fraction to liver,
OFlaherty2000_Pb_Human_Male_PARAM,QL,,L/h,Cardiac output to liver,
OFlaherty2000_Pb_Human_Male_PARAM,QRest,,L/h,Cardiac output to rest of body,
OFlaherty2000_Pb_Human_Male_PARAM,HtcA,0.44,dimensionless,Hematocrit,
OFlaherty2000_Pb_Human_Male_PARAM,Htc,,dimensionless,Hematocrit,
OFlaherty2000_Pb_Human_Male_PARAM,PL,50.0,dimensionless,Partition coefficient blood-liver,
OFlaherty2000_Pb_Human_Male_PARAM,PRest,1.0,dimensionless,Partition coefficient blood- rest body,
OFlaherty2000_Pb_Human_Male_PARAM,G,1.2,dimensionless,Linear parameter for unbound lead in red cells ,
OFlaherty2000_Pb_Human_Male_PARAM,BIND,,mg/L,Maximum capacity of sites in red cells to bind lead (mg/L of red cell volume) ,
OFlaherty2000_Pb_Human_Male_PARAM,KBIND,,mg/L,Half-saturation concentration of lead for binding by sites in red cells (mg/L of red cell volume) ,
