idModelInstance,Parameter,Value,Unit,Description,Reference
OFlaherty2000_Pb_Human_Male_PARAM,Age,30.0,,,
OFlaherty2000_Pb_Human_Male_PARAM,BW,70.0,,body weight,
OFlaherty2000_Pb_Human_Male_PARAM,VLc,0.025,,,
OFlaherty2000_Pb_Human_Male_PARAM,VBc,0.067,,,
OFlaherty2000_Pb_Human_Male_PARAM,VL,,,,
OFlaherty2000_Pb_Human_Male_PARAM,VB,,,,
OFlaherty2000_Pb_Human_Male_PARAM,QC,,,,
OFlaherty2000_Pb_Human_Male_PARAM,QLc,0.25,,,
OFlaherty2000_Pb_Human_Male_PARAM,QL,,,,
OFlaherty2000_Pb_Human_Male_PARAM,QRest,,,,
OFlaherty2000_Pb_Human_Male_PARAM,HtcA,0.44,,,
OFlaherty2000_Pb_Human_Male_PARAM,Htc,,,hematocrit,
OFlaherty2000_Pb_Human_Male_PARAM,PL,50.0,,,
OFlaherty2000_Pb_Human_Male_PARAM,PRest,1.0,,,
OFlaherty2000_Pb_Human_Male_PARAM,G,1.2,,,
OFlaherty2000_Pb_Human_Male_PARAM,BIND,,,,
OFlaherty2000_Pb_Human_Male_PARAM,KBIND,,,,
