idModelInstance,Parameter,Value,Unit,Description,Reference
Bechaux2014_Cd_Human_Male_PARAM,Age,30.0,y,Age,
Bechaux2014_Cd_Human_Male_PARAM,BW,70.0,kg,Bodyweight,
Bechaux2014_Cd_Human_Male_PARAM,C5,0.05,dimensionless,Fraction of GI-tract Cd retained in epithelium,
Bechaux2014_Cd_Human_Male_PARAM,C6,0.05,/d,Rate of transfer of Cd in the GI- tract to uptake pool,
Bechaux2014_Cd_Human_Male_PARAM,C7,0.404,dimensionless,Fraction of uptake pool transferred to blood pool B1,
Bechaux2014_Cd_Human_Male_PARAM,C9,0.44,dimensionless,Fraction of transfer from blood pool B1 to other tissues,
Bechaux2014_Cd_Human_Male_PARAM,C10,0.00014,/d,Rate of transfer of Cd in other tissues to blood pool B1,
Bechaux2014_Cd_Human_Male_PARAM,C12,0.25,dimensionless,Fraction of transfer of Cd in blood pool B1 to liver,
Bechaux2014_Cd_Human_Male_PARAM,C13,3e-05,/d,Rate of transfer of Cd in liver to blood pool,
Bechaux2014_Cd_Human_Male_PARAM,C14,0.00016,/d,Rate of transfer of Cd in liver to blood pool B3,
Bechaux2014_Cd_Human_Male_PARAM,C16,0.0209,/d,Rate of transfer of Cd in blood pool B2 to blood pool,
Bechaux2014_Cd_Human_Male_PARAM,C17,0.922,dimensionless,Fraction of transfer of Cd in blood pool B3 to kidney,
Bechaux2014_Cd_Human_Male_PARAM,C18,1e-05,/d,Rate of transfer of Cd in kidney to blood pool,
Bechaux2014_Cd_Human_Male_PARAM,CX,0.04,dimensionless,Rate of transfer of Cd in B1 to blood B2,
