idModelInstance,Parameter,Value,Unit,Description,Reference
Ruiz2010_Cd_Human_Female_PARAM,Age,30.0,,,
Ruiz2010_Cd_Human_Female_PARAM,BW,70.0,,body weight,
Ruiz2010_Cd_Human_Female_PARAM,C5,0.1,,,
Ruiz2010_Cd_Human_Female_PARAM,C6,0.05,,,
Ruiz2010_Cd_Human_Female_PARAM,C7,0.25,,,
Ruiz2010_Cd_Human_Female_PARAM,C8,1.0,,,
Ruiz2010_Cd_Human_Female_PARAM,C9,0.44,,,
Ruiz2010_Cd_Human_Female_PARAM,C10,0.00014,,,
Ruiz2010_Cd_Human_Female_PARAM,C12,0.25,,,
Ruiz2010_Cd_Human_Female_PARAM,C13,3e-05,,,
Ruiz2010_Cd_Human_Female_PARAM,C14,0.00016,,,
Ruiz2010_Cd_Human_Female_PARAM,C16,0.012,,,
Ruiz2010_Cd_Human_Female_PARAM,C17,0.5,,,
Ruiz2010_Cd_Human_Female_PARAM,C18,1e-05,,,
Ruiz2010_Cd_Human_Female_PARAM,CX,0.04,,,
