idModelInstance,Parameter,Value,Unit,Description,Reference
Tebby2022_Pb_Human_Male_PARAM,Age,30.0,y,Age,
Tebby2022_Pb_Human_Male_PARAM,BW,70.0,kg,Bodyweight,
Tebby2022_Pb_Human_Male_PARAM,VLc,0.025,dimensionless,Volume fraction of liver,
Tebby2022_Pb_Human_Male_PARAM,VBc,0.067,dimensionless,Volume fraction of plasma,
Tebby2022_Pb_Human_Male_PARAM,VL,,L,Volume of liver,
Tebby2022_Pb_Human_Male_PARAM,VB,,L,Volume of blood,
Tebby2022_Pb_Human_Male_PARAM,QC,,L/d,Cardiac output,
Tebby2022_Pb_Human_Male_PARAM,QLc,0.25,dimensionless,Cardiac output fraction to liver,
Tebby2022_Pb_Human_Male_PARAM,QL,,L/d,Cardiac output to liver,
Tebby2022_Pb_Human_Male_PARAM,QRest,,L/d,Cardiac output to rest of body,
Tebby2022_Pb_Human_Male_PARAM,HtcA,0.44,dimensionless,Hematocrit,
Tebby2022_Pb_Human_Male_PARAM,Htc,,dimensionless,Hematocrit,
Tebby2022_Pb_Human_Male_PARAM,PL,50.0,dimensionless,Partition coefficient blood-liver,
Tebby2022_Pb_Human_Male_PARAM,PRest,1.0,dimensionless,Partition coefficient blood- rest body,
Tebby2022_Pb_Human_Male_PARAM,G,1.2,dimensionless,ratio of unbound erythrocyte lead concentration to plasma lead concentration,
Tebby2022_Pb_Human_Male_PARAM,BIND,,mg/L,maximum capacity of sites in red cells to bind lead,
Tebby2022_Pb_Human_Male_PARAM,KBIND,,mg/L,half-saturation concentration of lead for binding by sites in red cells,
