idModelInstance,Parameter,Value,Unit,Description,Reference
Tebby2022_Pb_Human_Male_PARAM,Age,30.0,,,
Tebby2022_Pb_Human_Male_PARAM,BW,70.0,,body weight,
Tebby2022_Pb_Human_Male_PARAM,VLc,0.025,,,
Tebby2022_Pb_Human_Male_PARAM,VBc,0.067,,,
Tebby2022_Pb_Human_Male_PARAM,VL,,,,
Tebby2022_Pb_Human_Male_PARAM,VB,,,,
Tebby2022_Pb_Human_Male_PARAM,QC,,,,
Tebby2022_Pb_Human_Male_PARAM,QLc,0.25,,,
Tebby2022_Pb_Human_Male_PARAM,QL,,,,
Tebby2022_Pb_Human_Male_PARAM,QRest,,,,
Tebby2022_Pb_Human_Male_PARAM,HtcA,0.44,,,
Tebby2022_Pb_Human_Male_PARAM,Htc,,,hematocrit,
Tebby2022_Pb_Human_Male_PARAM,PL,50.0,,,
Tebby2022_Pb_Human_Male_PARAM,PRest,1.0,,,
Tebby2022_Pb_Human_Male_PARAM,G,1.2,,,
Tebby2022_Pb_Human_Male_PARAM,BIND,,,,
Tebby2022_Pb_Human_Male_PARAM,KBIND,,,,
