idModelInstance,Parameter,Value,Unit,Description,Reference
GilbertSandoval_PARAM,BW,70.0,kg,Bodyweight,
GilbertSandoval_PARAM,VLc,0.026,dimensionless,Volume fraction of liver,
GilbertSandoval_PARAM,VBc,0.079,dimensionless,Volume fraction of blood,
GilbertSandoval_PARAM,VSI,1.29,L,Volume of small intestine,
GilbertSandoval_PARAM,VL,,L,Volume of liver,
GilbertSandoval_PARAM,VB,,L,Volume of blood,
GilbertSandoval_PARAM,QC,,L/h,Cardiac output,
GilbertSandoval_PARAM,QLc,0.227,dimensionless,Cardiac output fraction to liver,
GilbertSandoval_PARAM,QL,,L/h,Cardiac output to liver,
GilbertSandoval_PARAM,QRest,,L/h,Cardiac output to rest of body,
GilbertSandoval_PARAM,PL,1.07,dimensionless,Partition coefficient blood-liver,
GilbertSandoval_PARAM,PRest,1.0,dimensionless,Partition coefficient blood- rest body,
GilbertSandoval_PARAM,ksto,2.8,/h,stomach emptying rate,
GilbertSandoval_PARAM,kt,2.19,/h,Transfer rate to next compartment within the intestines,
GilbertSandoval_PARAM,kfe,0.02,/h,Excretion rate to feces,
GilbertSandoval_PARAM,kabs,5.05,/h,Absorption rate in small intestine,
GilbertSandoval_PARAM,MPL,,mg/kg, {mg microsomal protein/kg liver},
GilbertSandoval_PARAM,VmaxMet1c,0.003469,,Vmax constant,
GilbertSandoval_PARAM,VmaxMet2c,0.000542,,Vmax constant,
GilbertSandoval_PARAM,nMet1,1.2,dimensionless,Hill coefficient,
GilbertSandoval_PARAM,nMet2,1.1,dimensionless,Hill coefficient,
GilbertSandoval_PARAM,S50Met1,427.0,umol/L,effective Hill S50,
GilbertSandoval_PARAM,S50Met2,197.0,umol/L,effective Hill S50,
