element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Stomach,compartment,stomach,,rdf,BQM_IS,,
SI1,compartment,,,rdf,BQM_IS,,
SI2,compartment,,,rdf,BQM_IS,,
SI3,compartment,,,rdf,BQM_IS,,
SI4,compartment,,,rdf,BQM_IS,,
SI5,compartment,,,rdf,BQM_IS,,
SI6,compartment,,,rdf,BQM_IS,,
SI7,compartment,,,rdf,BQM_IS,,
Colon,compartment,,,rdf,BQM_IS,,
Liver,compartment,liver,,rdf,BQM_IS,,
Blood,compartment,blood,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
Rest,compartment,rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Feces,compartment,feces,,rdf,BQM_IS,,
Feaces,compartment,,,rdf,BQM_IS,,
ASt,species,,,rdf,BQM_IS,,
ASt,species,,,rdf,BQB_IS,,
ASI1,species,,,rdf,BQM_IS,,
ASI1,species,,,rdf,BQB_IS,,
ASI2,species,,,rdf,BQM_IS,,
ASI2,species,,,rdf,BQB_IS,,
ASI3,species,,,rdf,BQM_IS,,
ASI3,species,,,rdf,BQB_IS,,
ASI4,species,,,rdf,BQM_IS,,
ASI4,species,,,rdf,BQB_IS,,
ASI5,species,,,rdf,BQM_IS,,
ASI5,species,,,rdf,BQB_IS,,
ASI6,species,,,rdf,BQM_IS,,
ASI6,species,,,rdf,BQB_IS,,
ASI7,species,,,rdf,BQM_IS,,
ASI7,species,,,rdf,BQB_IS,,
AColon,species,,,rdf,BQM_IS,,
AColon,species,,,rdf,BQB_IS,,
AFeaces,species,,,rdf,BQM_IS,,
AFeaces,species,,,rdf,BQB_IS,,
ALiver,species,amount of chemical in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,,
ABlood,species,amount of chemical in blood,,rdf,BQM_IS,,
ABlood,species,,,rdf,BQB_IS,,
ARest,species,amount of chemical in rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,,
ALiverMet1,species,,,rdf,BQM_IS,,
ALiverMet1,species,,,rdf,BQB_IS,,
ALiverMet2,species,,,rdf,BQM_IS,,
ALiverMet2,species,,,rdf,BQB_IS,,
BW,parameter,body weight,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
VLc,parameter,,,rdf,BQM_IS,,
VLc,parameter,,,rdf,BQB_IS,,
VBc,parameter,,,rdf,BQM_IS,,
VBc,parameter,,,rdf,BQB_IS,,
VSI,parameter,,,rdf,BQM_IS,,
VSI,parameter,,,rdf,BQB_IS,,
VL,parameter,,,rdf,BQM_IS,,
VL,parameter,,,rdf,BQB_IS,,
VB,parameter,,,rdf,BQM_IS,,
VB,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
QLc,parameter,,,rdf,BQM_IS,,
QLc,parameter,,,rdf,BQB_IS,,
QL,parameter,,,rdf,BQM_IS,,
QL,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
PL,parameter,,,rdf,BQM_IS,,
PL,parameter,,,rdf,BQB_IS,,
PRest,parameter,,,rdf,BQM_IS,,
PRest,parameter,,,rdf,BQB_IS,,
ksto,parameter,,,rdf,BQM_IS,,
ksto,parameter,,,rdf,BQB_IS,,
kt,parameter,,,rdf,BQM_IS,,
kt,parameter,,,rdf,BQB_IS,,
kfe,parameter,,,rdf,BQM_IS,,
kfe,parameter,,,rdf,BQB_IS,,
kabs,parameter,,,rdf,BQM_IS,,
kabs,parameter,,,rdf,BQB_IS,,
kabsSI1,parameter,,,rdf,BQM_IS,,
kabsSI1,parameter,,,rdf,BQB_IS,,
kabsSI2,parameter,,,rdf,BQM_IS,,
kabsSI2,parameter,,,rdf,BQB_IS,,
kabsSI3,parameter,,,rdf,BQM_IS,,
kabsSI3,parameter,,,rdf,BQB_IS,,
kabsSI4,parameter,,,rdf,BQM_IS,,
kabsSI4,parameter,,,rdf,BQB_IS,,
kabsSI5,parameter,,,rdf,BQM_IS,,
kabsSI5,parameter,,,rdf,BQB_IS,,
kabsSI6,parameter,,,rdf,BQM_IS,,
