idModelInstance,Parameter,Value,Unit,Description,Reference
Mandez_Catal_2021_Human_PBK_PARAM,BW,70.0,kg,Bodyweight,
Mandez_Catal_2021_Human_PBK_PARAM,VLc,0.026,dimensionless,Volume fraction of liver,
Mandez_Catal_2021_Human_PBK_PARAM,VBc,0.074,dimensionless,Volume fraction of blood,
Mandez_Catal_2021_Human_PBK_PARAM,VSITissuec,0.009,dimensionless,Volume fraction of small intestine tissue,
Mandez_Catal_2021_Human_PBK_PARAM,VMB,0.0018,dimensionless,Feces fraction to bodyweight,
Mandez_Catal_2021_Human_PBK_PARAM,VSI,1.29,L,Volume of small intestine,
Mandez_Catal_2021_Human_PBK_PARAM,VSI1,,L,Volume of small intestine,
Mandez_Catal_2021_Human_PBK_PARAM,VSI2,,L,Volume of small intestine,
Mandez_Catal_2021_Human_PBK_PARAM,VSI3,,L,Volume of small intestine,
Mandez_Catal_2021_Human_PBK_PARAM,VSI4,,L,Volume of small intestine,
Mandez_Catal_2021_Human_PBK_PARAM,VSI5,,L,Volume of small intestine,
Mandez_Catal_2021_Human_PBK_PARAM,VSI6,,L,Volume of small intestine,
Mandez_Catal_2021_Human_PBK_PARAM,VSI7,,L,Volume of small intestine,
Mandez_Catal_2021_Human_PBK_PARAM,QSIc,0.181,dimensionless,Cardiac output fraction to small intestine,
Mandez_Catal_2021_Human_PBK_PARAM,QLc,0.046,dimensionless,Cardiac output fraction to liver,
Mandez_Catal_2021_Human_PBK_PARAM,PL,6.56,dimensionless,Partition coefficient blood-liver,
Mandez_Catal_2021_Human_PBK_PARAM,PSI,6.56,dimensionless,Partition coefficient blood-small intestine,
Mandez_Catal_2021_Human_PBK_PARAM,PRest,1.0,dimensionless,Partition coefficient blood- rest body,
Mandez_Catal_2021_Human_PBK_PARAM,ksto,2.8,/h,stomach emptying rate,
Mandez_Catal_2021_Human_PBK_PARAM,kt1,2.19,/h,Transfer rate to next compartment within the intestine,
Mandez_Catal_2021_Human_PBK_PARAM,kt2,2.19,/h,Transfer rate to next compartment within the intestine,
Mandez_Catal_2021_Human_PBK_PARAM,kt3,2.19,/h,Transfer rate to next compartment within the intestine,
Mandez_Catal_2021_Human_PBK_PARAM,kt4,2.19,/h,Transfer rate to next compartment within the intestine,
Mandez_Catal_2021_Human_PBK_PARAM,kt5,2.19,/h,Transfer rate to next compartment within the intestine,
Mandez_Catal_2021_Human_PBK_PARAM,kt6,2.19,/h,Transfer rate to next compartment within the intestine,
Mandez_Catal_2021_Human_PBK_PARAM,kt7,0.464,/h,Transfer rate to next compartment within the intestine,
Mandez_Catal_2021_Human_PBK_PARAM,kfe,0.024,/h,Transfer rate to feces,
Mandez_Catal_2021_Human_PBK_PARAM,PappCaco2_log,-4.9829,cm/h,logaritmic Papp caco 2 value,
Mandez_Catal_2021_Human_PBK_PARAM,SASI,10.3,dm^2,Surface area per intestinal compartment,
Mandez_Catal_2021_Human_PBK_PARAM,SAinb,47.12,dm^2,Surface are of large intestine,
Mandez_Catal_2021_Human_PBK_PARAM,MW,318.37,g/mol,Molecular weight,
Mandez_Catal_2021_Human_PBK_PARAM,S9SI,35.2,mg/g,Scaling factor small intestinal S9 protein yield,
Mandez_Catal_2021_Human_PBK_PARAM,VmaxSIMet1c,0.003469,,Vmax constant,
Mandez_Catal_2021_Human_PBK_PARAM,KmSIMet1,1.174,umol/L,Kinetic constant,
Mandez_Catal_2021_Human_PBK_PARAM,VmaxLIMet2c,0.054,,Vmax constant,
Mandez_Catal_2021_Human_PBK_PARAM,VmaxLIMet3c,0.0108,,Vmax constant,
Mandez_Catal_2021_Human_PBK_PARAM,KmLIMet2,135.0,umol/L,Kinetic constant,
Mandez_Catal_2021_Human_PBK_PARAM,KmLIMet3,163.0,umol/L,Kinetic constant,
Mandez_Catal_2021_Human_PBK_PARAM,VLS9,120.7,mg/g,Scaling factor liver S9 protein yield,
Mandez_Catal_2021_Human_PBK_PARAM,VmaxLMet2c,358.7,,Vmax constant,
Mandez_Catal_2021_Human_PBK_PARAM,VmaxLMet3c,209.3,,Vmax constant,
Mandez_Catal_2021_Human_PBK_PARAM,VmaxLMet1c,2.97,,Vmax constant,
Mandez_Catal_2021_Human_PBK_PARAM,KmLMet2,9.0,umol/L,Kinetic constant,
Mandez_Catal_2021_Human_PBK_PARAM,KmLMet3,23.0,umol/L,Kinetic constant,
Mandez_Catal_2021_Human_PBK_PARAM,KmLMet1,2.043,umol/L,Kinetic constant,
