idModelInstance,Parameter,Value,Unit,Description,Reference
Mandez_Catal_2021_Human_PBK_PARAM,BW,70.0,kg,Bodyweight,
Mandez_Catal_2021_Human_PBK_PARAM,VLc,0.026,L/kg,Volume fraction of liver,
Mandez_Catal_2021_Human_PBK_PARAM,VBc,0.074,L/kg,Volume fraction of blood,
Mandez_Catal_2021_Human_PBK_PARAM,VSITissuec,0.009,L/kg,Volume fraction of small intestine tissue,
Mandez_Catal_2021_Human_PBK_PARAM,VMB,0.0018,L/kg,Volume fraction of feces,
Mandez_Catal_2021_Human_PBK_PARAM,VSI,1.29,L,Volume of small intestine sub-compartment,
Mandez_Catal_2021_Human_PBK_PARAM,QSIc,0.181,dimensionless,Blood flow to small intestine fraction,
Mandez_Catal_2021_Human_PBK_PARAM,QLc,0.046,dimensionless,Blood flow to liver fraction,
Mandez_Catal_2021_Human_PBK_PARAM,PL,6.56,dimensionless,Partition coefficient blood-liver,
Mandez_Catal_2021_Human_PBK_PARAM,PSI,6.56,dimensionless,Partition coefficient blood-small intestine,
Mandez_Catal_2021_Human_PBK_PARAM,PRest,1.0,dimensionless,Partition coefficient blood- rest body,
Mandez_Catal_2021_Human_PBK_PARAM,ksto,2.8,/h,Stomach emptying rate,
Mandez_Catal_2021_Human_PBK_PARAM,kt1,2.19,/h,Transfer rate to next intestinal sub-compartment,
Mandez_Catal_2021_Human_PBK_PARAM,kt2,2.19,/h,Transfer rate to next intestinal sub-compartment,
Mandez_Catal_2021_Human_PBK_PARAM,kt3,2.19,/h,Transfer rate to next intestinal sub-compartment,
Mandez_Catal_2021_Human_PBK_PARAM,kt4,2.19,/h,Transfer rate to next intestinal sub-compartment,
Mandez_Catal_2021_Human_PBK_PARAM,kt5,2.19,/h,Transfer rate to next intestinal sub-compartment,
Mandez_Catal_2021_Human_PBK_PARAM,kt6,2.19,/h,Transfer rate to next intestinal sub-compartment,
Mandez_Catal_2021_Human_PBK_PARAM,kt7,0.464,/h,Transfer rate to next intestinal sub-compartment,
Mandez_Catal_2021_Human_PBK_PARAM,kfe,0.024,/h,Fecal elimination rate,
Mandez_Catal_2021_Human_PBK_PARAM,PappCaco2_log,-4.9829,dimensionless,Fitted parameter,
Mandez_Catal_2021_Human_PBK_PARAM,SASI,10.3,dm^2,Surface area - small intestine sub-compartment,
Mandez_Catal_2021_Human_PBK_PARAM,SAinb,47.12,dm^2,Surface area - large intestine,
Mandez_Catal_2021_Human_PBK_PARAM,MW,318.37,g/mol,Molecular weight,
Mandez_Catal_2021_Human_PBK_PARAM,S9SI,35.2,mg/g,Small intestinal S9 protein yield,
Mandez_Catal_2021_Human_PBK_PARAM,VmaxSIMet1c,0.491,nmol/min/mg,Vmax constant in small intestine,
Mandez_Catal_2021_Human_PBK_PARAM,KmSIMet1,1.174,umol/L,Km constant in small intestine,
Mandez_Catal_2021_Human_PBK_PARAM,VmaxLIMet2c,0.054,pmol/h/g,Vmax constant in large intestine,
Mandez_Catal_2021_Human_PBK_PARAM,VmaxLIMet3c,0.0108,pmol/h/g,Vmax constant in large intestine,
Mandez_Catal_2021_Human_PBK_PARAM,KmLIMet2,135.0,umol/L,Km constant in large intestine,
Mandez_Catal_2021_Human_PBK_PARAM,KmLIMet3,163.0,umol/L,Km constant in large intestine,
Mandez_Catal_2021_Human_PBK_PARAM,VLS9,120.7,mg/g,Liver S9 protein yield,
Mandez_Catal_2021_Human_PBK_PARAM,VmaxLMet2c,358.7,pmol/min/mg,Vmax constant in liver,
Mandez_Catal_2021_Human_PBK_PARAM,VmaxLMet3c,209.3,pmol/min/mg,Vmax constant in liver,
Mandez_Catal_2021_Human_PBK_PARAM,VmaxLMet1c,2.97,pmol/min/mg,Vmax constant in liver,
Mandez_Catal_2021_Human_PBK_PARAM,KmLMet2,9.0,umol/L,Km constant in liver,
Mandez_Catal_2021_Human_PBK_PARAM,KmLMet3,23.0,umol/L,Km constant in liver,
Mandez_Catal_2021_Human_PBK_PARAM,KmLMet1,2.043,umol/L,Km constant in liver,
