idModelInstance,Parameter,Value,Unit,Description,Reference
Mukherjee2014_Human_PBK_PARAM,BW,70.0,kg,Bodyweight,
Mukherjee2014_Human_PBK_PARAM,VLc,0.026,dimensionless,Volume fraction of liver,
Mukherjee2014_Human_PBK_PARAM,VBc,0.074,dimensionless,Volume fraction of blood,
Mukherjee2014_Human_PBK_PARAM,VGc,0.009,dimensionless,Volume fraction of gut,
Mukherjee2014_Human_PBK_PARAM,VL,,L,Volume of liver,
Mukherjee2014_Human_PBK_PARAM,VB,,L,Volume of blood,
Mukherjee2014_Human_PBK_PARAM,VG,,L,Volume of gut,
Mukherjee2014_Human_PBK_PARAM,VSt,0.2,L,Volume of stomach,
Mukherjee2014_Human_PBK_PARAM,VSpleen,0.2,L,Volume of spleen,
Mukherjee2014_Human_PBK_PARAM,VBile,0.5,L,Volume of bile,
Mukherjee2014_Human_PBK_PARAM,VRest,,L,Volume of rest of body,
Mukherjee2014_Human_PBK_PARAM,QC,,L/h,Cardiac output,
Mukherjee2014_Human_PBK_PARAM,QLc,0.046,dimensionless,Cardiac output fraction to liver,
Mukherjee2014_Human_PBK_PARAM,QGc,0.181,dimensionless,Cardiac output fraction to gut,
Mukherjee2014_Human_PBK_PARAM,QL,,L/h,Cardiac output to liver,
Mukherjee2014_Human_PBK_PARAM,QG,,L/h,Cardiac output to gut,
Mukherjee2014_Human_PBK_PARAM,QSpleen,4.602,L/h,Cardiac output to spleen,
Mukherjee2014_Human_PBK_PARAM,QSt,2.298,L/h,Cardiac output to stomach,
Mukherjee2014_Human_PBK_PARAM,QRest,,L/h,Cardiac output to rest of body,
Mukherjee2014_Human_PBK_PARAM,QBile,0.031,L/h,Cardiac output to Bile,
Mukherjee2014_Human_PBK_PARAM,QLhep,,L/h,arterial hepatic blood flow,
Mukherjee2014_Human_PBK_PARAM,PL,4.56,dimensionless,Partition coefficient blood-liver,
Mukherjee2014_Human_PBK_PARAM,PRest,1.0,dimensionless,Partition coefficient blood- rest body,
Mukherjee2014_Human_PBK_PARAM,PG,6.56,dimensionless,Partition coefficient blood-gut,
Mukherjee2014_Human_PBK_PARAM,PStomach,1.3,dimensionless,Partition coefficient blood- stomach,
Mukherjee2014_Human_PBK_PARAM,PSpleen,0.81,dimensionless,Partition coefficient blood- spleen,
Mukherjee2014_Human_PBK_PARAM,ktFL,,/h,Transfer kinetic constant GI lumen to fast lumen,
Mukherjee2014_Human_PBK_PARAM,ktSL,,/h,Transfer kinetic constant GI lumen to slow lumen,
Mukherjee2014_Human_PBK_PARAM,kt,,/h,Kinetic constant slow lumen to colon,
Mukherjee2014_Human_PBK_PARAM,kabsFL,,/h,Kinetic constant fast lumen to gut,
Mukherjee2014_Human_PBK_PARAM,kabsSL,0.0,/h,Kinetic constant slow lumen to gut,
Mukherjee2014_Human_PBK_PARAM,kfe,,/h,Kinetic constant colon to feces,
Mukherjee2014_Human_PBK_PARAM,kbiliary,,/h,Kinetic constant biliary excretion (liver to bile),
Mukherjee2014_Human_PBK_PARAM,VLkg,,g/kg,Volume fraction of liver convert to kg,
Mukherjee2014_Human_PBK_PARAM,AMet,0.0,,,
