element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ng,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Mukherjee2014_Human_PBK,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_10106,
Mukherjee2014_Human_PBK,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
GILumen,compartment,GI lumen compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00478,
Fast,compartment,Fast GI lumen compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00478,
Slow,compartment,Slow GI lumen compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00478,
Colon,compartment,Colon compartment,L,rdf,BQM_IS,,
Gut,compartment,Gut compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Liver,compartment,Liver compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Blood,compartment,Blood compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
Rest,compartment,Rest of body compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Bile,compartment,Bile (pseudo) compartment,L,rdf,BQM_IS,,
Feces,compartment,Feces compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
Stomach,compartment,Stomach compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00566,
Spleen,compartment,Spleen compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00492,
AGILumen,species,Amount in GI lumen,ng,rdf,BQM_IS,,
AGILumen,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10106,
AFast,species,Amount in fast GI lumen,ng,rdf,BQM_IS,,
AFast,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10106,
ASlow,species,Amount in slow GI lumen,ng,rdf,BQM_IS,,
ASlow,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10106,
AColon,species,Amount in colon,ng,rdf,BQM_IS,,
AColon,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10106,
AGut,species,Amount in gut,ng,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGut,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10106,
ALiver,species,Amount in liver,ng,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10106,
ABlood,species,Amount in blood,ng,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00623,
ABlood,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10106,
ARest,species,Amount in rest of body,ng,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10106,
ASt,species,Amount in stomach,ng,rdf,BQM_IS,,
ASt,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10106,
ASpleen,species,Amount in spleen,ng,rdf,BQM_IS,,
ASpleen,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10106,
ABile,species,Amount in Bile (may be removed),ng,rdf,BQM_IS,,
ABile,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10106,
AFeces,species,Amount in feces,ng,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00273,
AFeces,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10106,
ALiverMet1,species,Amount of metabolite in liver,ng,rdf,BQM_IS,,
ALiverMet1,species,,,rdf,BQB_IS,,
ALiverMet2,species,Amount of metabolite in liver,ng,rdf,BQM_IS,,
ALiverMet2,species,,,rdf,BQB_IS,,
ALiverMet3,species,Amount of metabolite in liver,ng,rdf,BQM_IS,,
ALiverMet3,species,,,rdf,BQB_IS,,
ALiverMet4,species,Amount of metabolite in liver,ng,rdf,BQM_IS,,
ALiverMet4,species,,,rdf,BQB_IS,,
BW,parameter,Bodyweight,kg,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
VLc,parameter,Volume fraction of liver,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00078,
VLc,parameter,,,rdf,BQB_IS,,
VBc,parameter,Volume fraction of blood,UNITLESS,rdf,BQM_IS,,
VBc,parameter,,,rdf,BQB_IS,,
VGc,parameter,Volume fraction of gut,UNITLESS,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00509,
VGc,parameter,,,rdf,BQB_IS,,
VL,parameter,Volume of liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00077,
VL,parameter,,,rdf,BQB_IS,,
VB,parameter,Volume of blood,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00108,
VB,parameter,,,rdf,BQB_IS,,
