idModelInstance,Parameter,Value,Unit,Description,Reference
Mukherjee2014_Human_PBK_PARAM,BW,70.0,kg,Bodyweight,
Mukherjee2014_Human_PBK_PARAM,VLc,0.026,L/kg,Volume fraction of liver,
Mukherjee2014_Human_PBK_PARAM,VBc,0.074,L/kg,Volume fraction of blood,
Mukherjee2014_Human_PBK_PARAM,VGc,0.009,L/kg,Volume fraction of gut,
Mukherjee2014_Human_PBK_PARAM,VSt,0.2,L,Volume of stomach,
Mukherjee2014_Human_PBK_PARAM,VSpleen,0.2,L,Volume of spleen,
Mukherjee2014_Human_PBK_PARAM,VBile,0.5,L,Volume of bile (pseudo-compartment),
Mukherjee2014_Human_PBK_PARAM,QLc,0.046,dimensionless,Blood flow to liver fraction,
Mukherjee2014_Human_PBK_PARAM,QGc,0.181,dimensionless,Blood flow fraction to gut,
Mukherjee2014_Human_PBK_PARAM,QSpleen,4.602,L/h,Blood flow to spleen,
Mukherjee2014_Human_PBK_PARAM,QSt,2.298,L/h,Blood flow to stomach,
Mukherjee2014_Human_PBK_PARAM,QBile,0.031,L/h,Blood flow to bile,
Mukherjee2014_Human_PBK_PARAM,PL,4.56,dimensionless,Partition coefficient blood-liver,
Mukherjee2014_Human_PBK_PARAM,PRest,1.0,dimensionless,Partition coefficient blood- rest body,
Mukherjee2014_Human_PBK_PARAM,PG,6.56,dimensionless,Partition coefficient blood-gut,
Mukherjee2014_Human_PBK_PARAM,PStomach,1.3,dimensionless,Partition coefficient blood- stomach,
Mukherjee2014_Human_PBK_PARAM,PSpleen,0.81,dimensionless,Partition coefficient blood- spleen,
Mukherjee2014_Human_PBK_PARAM,kabsSL,0.0,/h,Absorption rate constant in slow lumen,
Mukherjee2014_Human_PBK_PARAM,CLintLMet1C,0.004776,mL/min/g,Vmax/Km value,
Mukherjee2014_Human_PBK_PARAM,CLintLMet2C,0.0236,mL/min/g,Vmax/Km value,
Mukherjee2014_Human_PBK_PARAM,CLintLMet3C,0.007057,mL/min/g,Vmax/Km value,
