element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,,,,,
volumeUnits,document,model volume unit,,,,,
Lumen,compartment,gut lumen,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00478,
Liver,compartment,liver,,rdf,BQM_IS,,
Blood,compartment,blood,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
Rest,compartment,rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
ALumen,species,,,rdf,BQM_IS,,
ALumen,species,,,rdf,BQB_IS,,
ALiver,species,amount of chemical in liver,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,,
ABlood,species,amount of chemical in blood,,rdf,BQM_IS,,
ABlood,species,,,rdf,BQB_IS,,
ARest,species,amount of chemical in rest-of-body,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,,
ALiverMet1,species,,,rdf,BQM_IS,,
ALiverMet1,species,,,rdf,BQB_IS,,
ALiverMet2,species,,,rdf,BQM_IS,,
ALiverMet2,species,,,rdf,BQB_IS,,
BW,parameter,body weight,,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00008,
BW,parameter,,,rdf,BQB_IS,,
VLc,parameter,,,rdf,BQM_IS,,
VLc,parameter,,,rdf,BQB_IS,,
VBc,parameter,,,rdf,BQM_IS,,
VBc,parameter,,,rdf,BQB_IS,,
VL,parameter,,,rdf,BQM_IS,,
VL,parameter,,,rdf,BQB_IS,,
VB,parameter,,,rdf,BQM_IS,,
VB,parameter,,,rdf,BQB_IS,,
VLum,parameter,,,rdf,BQM_IS,,
VLum,parameter,,,rdf,BQB_IS,,
VRest,parameter,,,rdf,BQM_IS,,
VRest,parameter,,,rdf,BQB_IS,,
QC,parameter,,,rdf,BQM_IS,,
QC,parameter,,,rdf,BQB_IS,,
QLc,parameter,,,rdf,BQM_IS,,
QLc,parameter,,,rdf,BQB_IS,,
QL,parameter,,,rdf,BQM_IS,,
QL,parameter,,,rdf,BQB_IS,,
QRest,parameter,,,rdf,BQM_IS,,
QRest,parameter,,,rdf,BQB_IS,,
kabs,parameter,,,rdf,BQM_IS,,
kabs,parameter,,,rdf,BQB_IS,,
CLintMet1,parameter,,,rdf,BQM_IS,,
CLintMet1,parameter,,,rdf,BQB_IS,,
CLintMet2,parameter,,,rdf,BQM_IS,,
CLintMet2,parameter,,,rdf,BQB_IS,,
PL,parameter,,,rdf,BQM_IS,,
PL,parameter,,,rdf,BQB_IS,,
PRest,parameter,,,rdf,BQM_IS,,
PRest,parameter,,,rdf,BQB_IS,,
CLumen,parameter,,,rdf,BQM_IS,,
CLumen,parameter,,,rdf,BQB_IS,,
CLiver,parameter,,,rdf,BQM_IS,,
CLiver,parameter,,,rdf,BQB_IS,,
CBlood,parameter,,,rdf,BQM_IS,,
CBlood,parameter,,,rdf,BQB_IS,,
CRest,parameter,,,rdf,BQM_IS,,
CRest,parameter,,,rdf,BQB_IS,,
