idModelInstance,Parameter,Value,Unit,Description,Reference
Notenboom2023_DON_Human_PARAM,BW,70.0,,body weight,
Notenboom2023_DON_Human_PARAM,VLc,0.026,,,
Notenboom2023_DON_Human_PARAM,VBc,0.079,,,
Notenboom2023_DON_Human_PARAM,VL,,,,
Notenboom2023_DON_Human_PARAM,VB,,,,
Notenboom2023_DON_Human_PARAM,VLum,1.29,,,
Notenboom2023_DON_Human_PARAM,QC,,,,
Notenboom2023_DON_Human_PARAM,QLc,0.227,,,
Notenboom2023_DON_Human_PARAM,QL,,,,
Notenboom2023_DON_Human_PARAM,QRest,,,,
Notenboom2023_DON_Human_PARAM,kabs,22.0,,,
Notenboom2023_DON_Human_PARAM,CLintMet1,,,,
Notenboom2023_DON_Human_PARAM,CLintMet2,,,,
Notenboom2023_DON_Human_PARAM,PL,6.56,,,
Notenboom2023_DON_Human_PARAM,PRest,1.0,,,
