element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,umol,,,,
extentUnits,document,model extent unit,,,,,
timeUnits,document,model time unit,h,,,,
volumeUnits,document,model volume unit,L,,,,
Wang2023_DON_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_10022,
Wang2023_DON_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
Stomach,compartment,Stomach compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00566,
Jejunum,compartment,Jejunum compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00482,
Ileum,compartment,Ileum compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00481,
LargeLumen,compartment,Large intestine lumen compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00474,
Liver,compartment,Liver compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Blood,compartment,Blood compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00464,
Rest,compartment,Rest of body compartment,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
IntestinalTissue,compartment,Intestinal tissue compartment,L,rdf,BQM_IS,,
ASt,species,Amount in stomach,umol,rdf,BQM_IS,,
ASt,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10022,
AJ,species,Amount in jejunum,umol,rdf,BQM_IS,,
AJ,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10022,
AI,species,Amount in ileum,umol,rdf,BQM_IS,,
AI,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_10022,
ALI,species,amount in large intestine,umol,rdf,BQM_IS,,
ALI,species,,,rdf,BQB_IS,,
AIT,species,Amount in intestinal tissue,umol,rdf,BQM_IS,,
