idModelInstance,Parameter,Value,Unit,Description,Reference
Wang2023_DON_Human_PARAM,BW,70.0,,body weight,
Wang2023_DON_Human_PARAM,VLc,0.026,,,
Wang2023_DON_Human_PARAM,VBc,0.079,,,
Wang2023_DON_Human_PARAM,VITc,0.09,,,
Wang2023_DON_Human_PARAM,VL,,,,
Wang2023_DON_Human_PARAM,VB,,,,
Wang2023_DON_Human_PARAM,VIT,,,,
Wang2023_DON_Human_PARAM,Ddm,0.5,,,
Wang2023_DON_Human_PARAM,LJdm,30.0,,,
Wang2023_DON_Human_PARAM,LIdm,30.0,,,
Wang2023_DON_Human_PARAM,LLIdm,18.7,,,
Wang2023_DON_Human_PARAM,VJ,,,,
Wang2023_DON_Human_PARAM,VI,,,,
Wang2023_DON_Human_PARAM,VLI,0.561,,,
Wang2023_DON_Human_PARAM,SAJ,,,,
Wang2023_DON_Human_PARAM,SAI,,,,
Wang2023_DON_Human_PARAM,SALI,,,,
Wang2023_DON_Human_PARAM,QC,,,,
Wang2023_DON_Human_PARAM,QLc,0.046,,,
Wang2023_DON_Human_PARAM,QITc,0.181,,,
Wang2023_DON_Human_PARAM,QL,,,,
Wang2023_DON_Human_PARAM,QIT,,,,
Wang2023_DON_Human_PARAM,QRest,,,,
Wang2023_DON_Human_PARAM,RBP,0.6523,,,
Wang2023_DON_Human_PARAM,fu,0.862,,,
Wang2023_DON_Human_PARAM,PL,,,,
Wang2023_DON_Human_PARAM,PIT,,,,
Wang2023_DON_Human_PARAM,PRest,,,,
Wang2023_DON_Human_PARAM,ksto,1.99,,,
Wang2023_DON_Human_PARAM,kt1,2.17,,,
Wang2023_DON_Human_PARAM,kt2,0.25,,,
Wang2023_DON_Human_PARAM,PappDONc,1.2883,,,
Wang2023_DON_Human_PARAM,CLint,,,,
Wang2023_DON_Human_PARAM,ALiv,0.0,,,
