idModelInstance,Parameter,Value,Unit,Description,Reference
Chou_Lin2021_PFOS_Human_PARAM,BW,70.0,,body weight,
Chou_Lin2021_PFOS_Human_PARAM,VLc,0.026,,,
Chou_Lin2021_PFOS_Human_PARAM,VPlasmac,0.0428,,,
Chou_Lin2021_PFOS_Human_PARAM,VL,,,,
Chou_Lin2021_PFOS_Human_PARAM,VPlasma,,,,
Chou_Lin2021_PFOS_Human_PARAM,QC,,,,
Chou_Lin2021_PFOS_Human_PARAM,QPlasma,,,,
Chou_Lin2021_PFOS_Human_PARAM,Htc,0.44,,hematocrit,
Chou_Lin2021_PFOS_Human_PARAM,QLc,0.25,,,
Chou_Lin2021_PFOS_Human_PARAM,QL,,,,
Chou_Lin2021_PFOS_Human_PARAM,QRest,,,,
Chou_Lin2021_PFOS_Human_PARAM,Free,0.025,,,
Chou_Lin2021_PFOS_Human_PARAM,kstoC,3.51,,,
Chou_Lin2021_PFOS_Human_PARAM,ksto,,,,
Chou_Lin2021_PFOS_Human_PARAM,kabsC,2.12,,,
Chou_Lin2021_PFOS_Human_PARAM,kabs,,,,
Chou_Lin2021_PFOS_Human_PARAM,kfeC,7.06e-05,,,
Chou_Lin2021_PFOS_Human_PARAM,k0C,1.0,,,
Chou_Lin2021_PFOS_Human_PARAM,k0,,,,
Chou_Lin2021_PFOS_Human_PARAM,kfe,,,,
Chou_Lin2021_PFOS_Human_PARAM,kbiliaryC,0.0001,,,
Chou_Lin2021_PFOS_Human_PARAM,kbiliary,,,,
Chou_Lin2021_PFOS_Human_PARAM,PL,2.67,,,
Chou_Lin2021_PFOS_Human_PARAM,PRest,1.0,,,
