element_id,sbml_type,element_name,unit,annotation_type,qualifier,URI,remark
substanceUnits,document,model substances unit,ug,,,,
extentUnits,document,model extent unit,ug,,,,
timeUnits,document,model time unit,d,,,,
volumeUnits,document,model volume unit,L,,,,
Husoy2024_PFOA_Human,model,,,rdf,BQB_IS_DESCRIBED_BY,https://www.ncbi.nlm.nih.gov/pubmed/37839534,
Husoy2024_PFOA_Human,model,,,rdf,BQB_HAS_PROPERTY,http://purl.obolibrary.org/obo/CHEBI_35549,
Husoy2024_PFOA_Human,model,,,rdf,BQB_HAS_TAXON,http://purl.obolibrary.org/obo/NCBITaxon_9606,
GI,compartment,Gastrointestinal tissue,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00477,
Liver,compartment,Liver,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00558,
Plasma,compartment,Plasma,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00488,
Rest,compartment,Rest of body,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00450,
Feces,compartment,Feces,L,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00555,
AGI,species,Amount in the gut,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00496,
AGI,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
ALiver,species,Amount in the liver,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00497,
ALiver,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
APlasma,species,Amount in plasma,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00502,
APlasma,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
ARest,species,Amount in the rest of the body,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00501,
ARest,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
AFeces,species,Amount in feces,ug,rdf,BQM_IS,http://purl.obolibrary.org/obo/PBPKO_00275,
AFeces,species,,,rdf,BQB_IS,http://purl.obolibrary.org/obo/CHEBI_35549,
