idModelInstance,Parameter,Value,Unit,Description,Reference
Loccisano2011_PFAS_Human_PARAM,BW,70.0,kg,Bodyweight,
Loccisano2011_PFAS_Human_PARAM,VLc,0.026,L/kg,Volume fraction of liver,
Loccisano2011_PFAS_Human_PARAM,VPlasmac,0.0428,L/kg,Volume fraction of plasma,
Loccisano2011_PFAS_Human_PARAM,VGIc,0.0171,L/kg,Volume fraction of gastrointestinal tissue,
Loccisano2011_PFAS_Human_PARAM,Htc,0.44,dimensionless,Hematocrit,
Loccisano2011_PFAS_Human_PARAM,QLc,0.25,dimensionless,Fraction of blood flow to liver,
Loccisano2011_PFAS_Human_PARAM,QGIc,0.181,dimensionless,Fraction of blood flow to gastrointestinal tract,
Loccisano2011_PFAS_Human_PARAM,Free,0.02,dimensionless,Fraction unbound in plasma,
Loccisano2011_PFAS_Human_PARAM,PL,2.2,dimensionless,Liver to plasma partition coefficient,
Loccisano2011_PFAS_Human_PARAM,PG,0.05,dimensionless,Gastrointestinal tract tissue to plasma partition coefficient,
Loccisano2011_PFAS_Human_PARAM,PRest,1.0,dimensionless,Rest of the body to plasma partition coefficient,
