idModelInstance,Parameter,Value,Unit,Description,Reference
Loccisano2011_PFOA_Human_PARAM,BW,70.0,,body weight,
Loccisano2011_PFOA_Human_PARAM,VLc,0.026,,,
Loccisano2011_PFOA_Human_PARAM,VPlasmac,0.0428,,,
Loccisano2011_PFOA_Human_PARAM,VGIc,0.0171,,,
Loccisano2011_PFOA_Human_PARAM,VL,,,,
Loccisano2011_PFOA_Human_PARAM,VPlasma,,,,
Loccisano2011_PFOA_Human_PARAM,VGI,,,,
Loccisano2011_PFOA_Human_PARAM,QC,,,,
Loccisano2011_PFOA_Human_PARAM,QPlasma,,,,
Loccisano2011_PFOA_Human_PARAM,Htc,0.44,,hematocrit,
Loccisano2011_PFOA_Human_PARAM,QLc,0.25,,,
Loccisano2011_PFOA_Human_PARAM,QGIc,0.181,,,
Loccisano2011_PFOA_Human_PARAM,QL,,,,
Loccisano2011_PFOA_Human_PARAM,QGI,,,,
Loccisano2011_PFOA_Human_PARAM,QRest,,,,
Loccisano2011_PFOA_Human_PARAM,Free,0.02,,,
Loccisano2011_PFOA_Human_PARAM,PL,2.2,,,
Loccisano2011_PFOA_Human_PARAM,PG,0.05,,,
Loccisano2011_PFOA_Human_PARAM,PRest,1.0,,,
