idModelInstance,Parameter,Value,Unit,Description,Reference
Loccisano2011_PFOS_Human_PARAM,BW,70.0,,body weight,
Loccisano2011_PFOS_Human_PARAM,VLc,0.026,,,
Loccisano2011_PFOS_Human_PARAM,VPlasmac,0.0428,,,
Loccisano2011_PFOS_Human_PARAM,VGIc,0.0171,,,
Loccisano2011_PFOS_Human_PARAM,Htc,0.44,,hematocrit,
Loccisano2011_PFOS_Human_PARAM,Free,0.025,,,
Loccisano2011_PFOS_Human_PARAM,QLc,0.25,,,
Loccisano2011_PFOS_Human_PARAM,QGIc,0.181,,,
Loccisano2011_PFOS_Human_PARAM,PL,3.72,,,
Loccisano2011_PFOS_Human_PARAM,PG,0.57,,,
Loccisano2011_PFOS_Human_PARAM,PRest,1.0,,,
